Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
475,139.0,286.0,0.0,26.53,6.55,32.65,-6.12,168.52,462.24,0.892,37.56,0.563,z_13
479,152.0,302.0,1.41,23.9,6.52,31.13,-7.23,172.64,366.75,0.88,35.48,0.545,z_15
480,345.0,394.0,1.0,20.84,6.42,25.35,-4.51,164.48,271.27,0.879,31.48,0.631,z_15
482,443.0,406.0,1.0,19.8,6.31,25.17,-5.37,176.46,240.89,0.845,31.25,0.637,z_15
483,396.0,409.0,1.0,17.01,5.16,23.03,-6.02,174.53,180.12,0.853,27.33,0.554,z_15
485,355.0,331.0,0.0,18.63,5.57,27.41,-8.78,179.52,210.5,0.909,28.94,0.593,z_15
486,433.0,341.0,2.0,22.54,6.21,29.03,-6.49,180.82,334.2,0.872,34.17,0.637,z_14
487,412.0,379.0,1.0,20.86,6.25,26.79,-5.93,178.06,275.61,0.845,32.54,0.637,z_15
489,445.0,150.0,1.0,21.12,6.18,25.69,-4.57,153.34,295.14,0.871,31.25,0.491,z_15
491,323.0,387.0,2.0,18.63,5.84,24.49,-5.86,164.58,225.69,0.876,29.79,0.563,z_14
495,461.0,487.0,0.0,18.45,5.84,24.82,-6.37,173.6,212.67,0.825,29.61,0.679,z_14
496,463.0,476.0,1.0,18.73,5.8,24.27,-5.54,171.0,221.35,0.859,29.61,0.633,z_15
497,399.0,420.0,1.41,15.49,5.61,20.47,-4.98,162.4,149.74,0.904,26.1,0.605,z_15
499,497.0,377.0,1.0,19.36,5.27,23.75,-4.39,171.14,227.86,0.848,29.83,0.6,z_15
500,365.0,353.0,1.0,19.89,5.75,26.61,-6.72,179.65,260.42,0.877,31.36,0.596,z_14
501,442.0,374.0,1.0,18.63,5.71,25.68,-7.05,176.63,227.86,0.924,30.05,0.552,z_14
502,327.0,342.0,1.41,19.4,5.38,26.09,-6.69,164.03,251.74,0.848,29.98,0.592,z_15
503,503.0,441.0,0.0,15.53,5.59,20.25,-4.72,167.33,149.74,0.904,26.71,0.585,z_15
505,338.0,497.0,1.0,21.67,5.68,28.21,-6.54,176.41,312.5,0.832,33.03,0.624,z_14
506,495.0,410.0,1.41,20.25,5.8,27.95,-7.7,177.27,260.42,0.83,31.01,0.542,z_15
510,467.0,140.0,3.0,21.05,5.04,25.86,-4.81,156.34,290.8,0.859,29.85,0.462,z_11
515,473.0,251.0,1.0,7.92,5.73,7.92,0.0,110.07,34.72,0.857,18.41,0.825,z_3
525,332.0,451.0,1.0,22.77,5.64,29.79,-7.02,181.93,349.39,0.898,33.59,0.541,z_15
529,487.0,438.0,1.41,22.63,5.99,31.32,-8.69,164.84,336.37,0.865,34.2,0.601,z_14
530,399.0,377.0,1.0,21.78,5.78,29.07,-7.29,186.04,321.18,0.9,33.14,0.599,z_14
537,332.0,485.0,0.0,22.44,5.58,27.81,-5.37,178.22,338.54,0.902,33.59,0.594,z_15
538,433.0,327.0,6.32,19.93,4.88,27.33,-7.4,183.11,262.59,0.921,29.64,0.543,z_15
540,346.0,486.0,1.0,22.67,6.21,28.34,-5.67,175.06,334.2,0.872,34.2,0.506,z_14
545,374.0,393.0,1.0,15.38,5.88,19.3,-3.92,168.09,145.4,0.878,26.84,0.636,z_15
549,427.0,148.0,0.0,17.31,3.77,23.29,-5.98,146.19,199.65,0.902,24.33,0.331,z_10
551,281.0,396.0,5.0,16.34,5.86,25.57,-9.23,127.89,112.85,0.779,28.07,1.0,z_15
553,341.0,336.0,1.0,22.96,5.75,30.9,-7.94,179.86,349.39,0.898,34.3,0.526,z_13
559,8.0,437.0,0.0,14.06,3.29,14.06,0.0,123.7,102.0,0.812,19.76,0.23,z_0
565,40.0,170.0,0.0,14.17,-7.08,14.17,0.0,134.64,112.85,0.846,0.0,0.0,z_0
569,468.0,181.0,6.71,15.87,6.22,22.54,-6.67,156.47,173.61,0.925,27.16,0.689,z_14
571,483.0,468.0,0.0,18.27,5.91,23.87,-5.6,161.08,206.16,0.89,29.74,0.578,z_15
573,499.0,468.0,0.0,20.52,6.33,26.54,-6.02,161.63,271.27,0.899,31.29,0.605,z_15
574,72.0,309.0,8.06,13.3,5.57,15.87,-2.57,137.18,104.17,0.883,23.29,0.631,z_12
575,348.0,254.0,2.0,13.98,5.77,16.59,-2.61,160.16,117.19,0.878,25.28,0.6,z_15
577,496.0,223.0,0.0,13.18,5.15,13.18,0.0,123.34,86.81,0.806,21.75,0.385,z_1
580,325.0,463.0,2.24,13.18,5.51,15.02,-1.84,140.41,108.51,0.842,23.44,0.505,z_14
583,475.0,367.0,7.07,11.22,5.9,13.51,-2.29,117.21,69.44,0.82,22.54,0.563,z_1
586,450.0,432.0,9.49,10.83,5.67,28.86,-18.03,142.46,69.44,0.82,22.18,0.52,z_15
588,440.0,225.0,0.0,11.79,5.37,11.79,0.0,122.0,67.27,0.82,21.47,0.486,z_0
592,258.0,391.0,2.24,16.47,6.03,19.59,-3.12,139.64,169.27,0.902,26.12,0.613,z_15
594,280.0,409.0,0.0,13.42,-6.71,14.21,-0.79,139.97,102.0,0.887,0.0,0.0,z_0
597,204.0,481.0,0.0,21.07,6.73,21.07,0.0,99.47,238.72,0.778,30.33,0.693,z_0
599,494.0,239.0,8.54,14.02,5.94,23.32,-9.3,99.05,119.36,0.873,23.53,0.625,z_15
600,475.0,439.0,0.0,21.45,5.36,21.45,0.0,119.9,249.57,0.808,31.24,0.469,z_0
608,505.0,290.0,2.24,12.15,4.51,12.81,-0.66,129.59,88.98,0.884,20.9,0.506,z_9
610,226.0,479.0,1.41,19.21,6.06,23.29,-4.08,154.35,217.01,0.842,29.09,0.612,z_15
615,90.0,208.0,1.0,15.17,5.59,15.87,-0.7,144.35,143.23,0.913,25.17,0.692,z_13
616,22.0,272.0,9.22,13.6,4.69,27.52,-13.92,148.86,112.85,0.846,22.73,0.533,z_15
617,134.0,235.0,0.0,15.39,-7.7,16.3,-0.91,138.62,156.25,0.832,0.0,0.0,z_1
618,270.0,265.0,9.06,16.47,6.17,22.37,-5.9,150.63,175.78,0.891,28.07,0.634,z_15
619,102.0,187.0,1.0,15.87,6.14,19.21,-3.34,145.47,173.61,0.925,27.16,0.548,z_15
622,55.0,74.0,3.61,20.35,6.21,25.35,-5.0,155.3,260.42,0.83,31.17,0.57,z_15
624,314.0,51.0,2.24,15.02,5.83,18.63,-3.61,151.86,136.72,0.892,26.68,0.547,z_15
625,206.0,53.0,5.0,20.52,6.58,24.3,-3.78,159.17,269.1,0.907,31.8,0.645,z_15
629,77.0,274.0,1.0,21.45,-10.72,21.45,0.0,133.74,193.14,0.763,0.0,0.0,z_2
638,81.0,25.0,1.0,15.87,5.29,19.98,-4.11,155.72,169.27,0.902,26.44,0.525,z_15
648,115.0,152.0,0.0,15.02,-5.18,15.02,0.0,145.51,132.38,0.863,4.66,0.036,z_0
649,293.0,275.0,8.54,13.34,5.93,27.42,-14.08,102.16,93.32,0.812,22.7,0.667,z_15
651,143.0,276.0,1.0,15.18,5.19,17.68,-2.5,154.23,141.06,0.852,24.4,0.393,z_14
659,119.0,289.0,0.0,19.59,4.67,23.49,-3.9,151.86,240.89,0.896,27.26,0.482,z_15
664,60.0,281.0,7.62,12.77,5.69,27.33,-14.56,125.16,95.49,0.887,23.97,0.366,z_14
672,209.0,313.0,9.06,15.02,5.8,28.39,-13.37,161.24,132.38,0.863,25.58,0.618,z_15
673,74.0,71.0,3.16,22.44,6.25,28.09,-5.65,168.2,329.86,0.924,33.59,0.587,z_14
678,131.0,249.0,1.41,19.26,4.69,25.35,-6.09,167.09,236.55,0.88,28.01,0.479,z_15
681,268.0,252.0,1.41,22.18,5.93,28.62,-6.44,175.42,325.52,0.912,32.94,0.518,z_15
683,164.0,294.0,4.24,21.12,5.22,27.23,-6.11,170.51,275.61,0.893,30.37,0.487,z_15
684,35.0,101.0,1.0,19.65,5.22,25.17,-5.52,166.65,240.89,0.845,30.09,0.524,z_15
685,110.0,224.0,0.0,22.77,6.45,28.94,-6.17,174.73,329.86,0.861,34.35,0.636,z_15
686,17.0,81.0,2.24,21.67,6.0,27.5,-5.83,163.93,299.48,0.884,33.08,0.562,z_15
687,13.0,247.0,1.0,22.7,5.05,29.16,-6.46,161.52,338.54,0.883,31.83,0.548,z_15
688,98.0,281.0,10.0,19.65,3.67,23.29,-3.64,147.19,238.72,0.852,25.28,0.252,z_15
692,8.0,131.0,2.0,21.45,5.91,29.27,-7.82,174.53,312.5,0.923,32.94,0.556,z_15
693,54.0,56.0,1.0,22.63,4.69,29.26,-6.63,166.74,345.05,0.887,31.29,0.439,z_15
694,99.0,231.0,1.0,21.25,5.76,28.25,-7.0,172.02,312.5,0.832,32.54,0.6,z_15
700,296.0,112.0,5.66,23.22,5.95,30.61,-7.39,182.07,360.24,0.895,34.62,0.545,z_14
701,143.0,173.0,1.41,19.89,6.11,25.82,-5.93,165.99,258.25,0.906,30.85,0.571,z_15
705,51.0,14.0,1.0,18.63,3.41,22.42,-3.79,145.92,230.03,0.893,24.49,0.355,z_15
706,23.0,116.0,1.0,18.81,6.09,22.44,-3.63,156.34,225.69,0.876,30.05,0.496,z_15
714,134.0,164.0,1.0,19.4,5.54,25.1,-5.7,168.8,247.4,0.834,30.05,0.48,z_15
716,111.0,212.0,1.41,18.63,5.82,25.86,-7.23,164.15,238.72,0.926,30.05,0.65,z_14
