Center_X_px,Center_Y_px,Diameter_μm,slide
376.0,283.0,40.57,z_11
335.0,222.0,40.55,z_11
314.0,162.0,40.54,z_12
305.0,277.0,40.49,z_14
141.0,373.0,40.48,z_14
477.0,305.0,40.45,z_13
19.0,359.0,40.41,z_12
457.0,190.0,40.4,z_14
84.0,124.0,40.32,z_13
422.0,391.0,40.23,z_14
367.0,240.0,40.19,z_12
245.0,395.0,40.09,z_12
485.0,229.0,40.07,z_12
358.0,427.0,40.07,z_14
418.0,269.0,40.07,z_13
249.0,374.0,40.04,z_13
361.0,393.0,40.03,z_13
318.0,495.0,40.02,z_14
243.0,53.0,39.95,z_12
101.0,200.0,39.95,z_10
239.0,414.0,39.92,z_12
12.0,145.0,39.92,z_13
189.0,390.0,39.71,z_12
481.0,144.0,39.67,z_11
309.0,381.0,39.6,z_11
425.0,426.0,39.53,z_11
380.0,253.0,39.53,z_15
179.0,476.0,39.42,z_13
450.0,248.0,39.39,z_12
140.0,312.0,39.38,z_15
423.0,351.0,39.33,z_14
335.0,353.0,39.32,z_11
374.0,174.0,39.14,z_13
31.0,154.0,39.0,z_14
403.0,392.0,38.95,z_14
241.0,289.0,38.95,z_13
259.0,304.0,38.91,z_13
302.0,40.0,38.91,z_15
468.0,220.0,38.91,z_14
154.0,348.0,38.78,z_13
37.0,412.0,38.65,z_13
276.0,310.0,38.57,z_14
28.0,449.0,38.54,z_14
386.0,19.0,38.35,z_13
203.0,248.0,38.02,z_13
81.0,215.0,38.0,z_13
57.0,130.0,37.94,z_13
366.0,301.0,37.9,z_13
9.0,342.0,37.9,z_9
386.0,423.0,37.76,z_14
25.0,33.0,37.73,z_13
312.0,252.0,37.7,z_12
49.0,35.0,37.67,z_14
120.0,424.0,37.6,z_14
80.0,298.0,37.59,z_14
471.0,201.0,37.57,z_14
235.0,488.0,37.56,z_14
372.0,458.0,37.56,z_13
316.0,293.0,37.54,z_14
409.0,364.0,37.45,z_10
245.0,438.0,37.35,z_13
253.0,9.0,37.29,z_9
386.0,399.0,37.23,z_13
406.0,451.0,37.2,z_13
159.0,130.0,37.17,z_14
357.0,286.0,37.1,z_15
