Rank,Z_Level_in_matched,BF_Level_File,Fluorescent_X,Fluorescent_Y,BF_X_from_file,BF_Y_from_file,XY_Distance_to_file,Match_Status_in_matched,Fluorescent_Diameter,BF_Diameter_from_matched,BF_Diameter_from_file,Diff_Fluor_vs_BFfile,Diff_BFmatched_vs_BFfile
64,z_16,z_0,314.0,441.0,315.0,440.0,1.4142135623730951,FALLBACK_FLUORESCENT,30.41,30.41,38.0,-7.59,-7.59
65,z_16,z_0,459.0,80.0,459.0,80.0,0.0,FALLBACK_FLUORESCENT,35.23,35.23,28.92,6.309999999999995,6.309999999999995
69,z_16,z_0,499.0,219.0,499.0,219.0,0.0,FALLBACK_FLUORESCENT,41.16,41.16,35.84,5.319999999999993,5.319999999999993
74,z_16,z_0,393.0,104.0,393.0,104.0,0.0,FALLBACK_FLUORESCENT,31.81,31.81,26.72,5.09,5.09
75,z_16,z_0,432.0,229.0,431.0,229.0,1.0,FALLBACK_FLUORESCENT,32.19,32.19,26.72,5.469999999999999,5.469999999999999
78,z_16,z_0,473.0,309.0,473.0,309.0,0.0,FALLBACK_FLUORESCENT,32.94,32.94,26.75,6.189999999999998,6.189999999999998
79,z_16,z_0,429.0,99.0,428.0,99.0,1.0,FALLBACK_FLUORESCENT,39.55,39.55,37.96,1.5899999999999963,1.5899999999999963
80,z_15,z_0,474.0,183.0,473.0,183.0,1.0,FALLBACK_FLUORESCENT,45.8,45.8,45.81,-0.010000000000005116,-0.010000000000005116
81,z_16,z_0,249.0,344.0,251.0,344.0,2.0,FALLBACK_FLUORESCENT,23.02,23.02,23.08,-0.05999999999999872,-0.05999999999999872
83,z_16,z_0,361.0,153.0,361.0,153.0,0.0,FALLBACK_FLUORESCENT,32.54,32.54,25.17,7.369999999999997,7.369999999999997
84,z_16,z_0,263.0,444.0,263.0,443.0,1.0,FALLBACK_FLUORESCENT,21.25,21.25,23.4,-2.1499999999999986,-2.1499999999999986
85,z_16,z_0,347.0,301.0,348.0,301.0,1.0,FALLBACK_FLUORESCENT,26.72,26.72,22.98,3.7399999999999984,3.7399999999999984
86,z_16,z_0,421.0,353.0,420.0,354.0,1.4142135623730951,FALLBACK_FLUORESCENT,41.13,41.13,26.81,14.320000000000004,14.320000000000004
91,z_16,z_0,436.0,201.0,436.0,201.0,0.0,FALLBACK_FLUORESCENT,25.86,25.86,19.8,6.059999999999999,6.059999999999999
92,z_16,z_0,497.0,144.0,498.0,144.0,1.0,FALLBACK_FLUORESCENT,42.9,42.9,40.46,2.4399999999999977,2.4399999999999977
93,z_16,z_0,460.0,298.0,460.0,298.0,0.0,FALLBACK_FLUORESCENT,37.09,37.09,31.67,5.420000000000002,5.420000000000002
96,z_16,z_0,500.0,86.0,499.0,86.0,1.0,FALLBACK_FLUORESCENT,38.25,38.25,31.92,6.329999999999998,6.329999999999998
