x,y,diameter,occupancy
365.0,317.0,14.73,0
429.0,424.0,18.28,0
269.0,419.0,15.23,0
492.0,323.0,15.38,0
381.0,405.0,21.45,0
362.0,118.0,20.64,0
388.0,389.0,16.83,0
395.0,320.0,19.91,0
434.0,476.0,19.91,0
501.0,386.0,20.39,0
375.0,472.0,17.15,0
335.0,358.0,18.22,0
472.0,449.0,16.8,0
387.0,174.0,15.14,0
467.0,123.0,21.75,0
323.0,459.0,19.65,0
300.0,468.0,22.46,0
503.0,305.0,13.42,0
483.0,259.0,15.29,0
494.0,20.0,21.73,0
488.0,89.0,26.68,0
492.0,47.0,17.8,0
480.0,271.0,15.56,0
473.0,355.0,20.55,0
483.0,447.0,21.45,0
390.0,70.0,21.86,0
419.0,428.0,19.26,0
392.0,345.0,21.96,0
410.0,122.0,11.53,0
360.0,242.0,23.75,0
486.0,170.0,18.28,0
397.0,133.0,24.44,0
481.0,16.0,19.65,0
443.0,138.0,18.32,0
406.0,39.0,27.16,0
441.0,448.0,22.67,0
418.0,368.0,20.94,0
444.0,15.0,14.73,0
351.0,413.0,21.45,0
337.0,103.0,21.01,0
451.0,67.0,20.93,0
428.0,447.0,23.13,0
237.0,92.0,19.89,0
276.0,419.0,15.02,0
368.0,110.0,23.8,0
435.0,216.0,17.15,0
436.0,133.0,15.53,0
450.0,438.0,19.98,0
379.0,268.0,17.15,0
492.0,285.0,14.73,0
474.0,22.0,17.83,0
326.0,471.0,22.63,0
433.0,69.0,21.68,0
225.0,228.0,15.87,0
486.0,221.0,26.68,0
464.0,169.0,25.35,0
106.0,169.0,15.87,0
500.0,371.0,15.02,0
489.0,187.0,17.86,0
149.0,170.0,18.69,0
423.0,404.0,15.14,0
405.0,395.0,19.96,0
200.0,86.0,21.01,0
53.0,426.0,16.3,0
105.0,202.0,18.15,0
490.0,456.0,14.88,0
10.0,42.0,21.45,0
388.0,362.0,23.29,0
436.0,201.0,19.8,0
360.0,343.0,14.06,0
460.0,423.0,22.46,0
410.0,404.0,15.02,0
44.0,182.0,17.31,0
451.0,53.0,20.86,0
453.0,15.0,16.03,0
433.0,160.0,19.33,0
195.0,328.0,16.3,0
396.0,253.0,13.6,0
357.0,125.0,18.63,0
333.0,215.0,18.47,0
390.0,284.0,14.73,0
358.0,502.0,18.89,0
323.0,29.0,26.68,0
244.0,117.0,16.87,0
75.0,406.0,15.87,0
487.0,437.0,15.02,0
426.0,343.0,14.73,0
156.0,86.0,17.96,0
419.0,452.0,13.98,0
363.0,414.0,20.04,0
467.0,460.0,16.8,0
488.0,279.0,15.77,0
381.0,381.0,19.65,0
324.0,488.0,16.34,0
203.0,369.0,15.02,0
475.0,322.0,16.59,0
453.0,430.0,13.36,0
439.0,459.0,17.31,0
301.0,451.0,13.48,0
417.0,477.0,19.81,0
494.0,463.0,15.38,0
289.0,396.0,15.39,0
268.0,359.0,14.73,0
495.0,278.0,14.27,0
360.0,358.0,19.15,0
498.0,432.0,17.92,0
397.0,452.0,14.73,0
483.0,321.0,15.02,0
487.0,394.0,19.26,0
248.0,336.0,19.76,0
427.0,364.0,19.65,0
280.0,394.0,15.87,0
385.0,478.0,27.8,0
398.0,330.0,15.87,0
369.0,245.0,15.02,0
396.0,474.0,13.18,0
299.0,352.0,14.27,0
384.0,430.0,14.21,0
399.0,410.0,16.83,0
443.0,368.0,20.62,0
332.0,462.0,18.81,0
484.0,474.0,15.32,0
321.0,382.0,23.34,0
497.0,39.0,15.02,0
442.0,386.0,17.87,0
443.0,310.0,15.47,0
376.0,445.0,26.1,0
276.0,73.0,25.13,0
291.0,5.0,19.65,0
84.0,56.0,19.81,0
62.0,110.0,22.54,0
265.0,300.0,19.6,0
148.0,120.0,16.36,0
226.0,79.0,15.87,0
98.0,143.0,15.39,0
127.0,121.0,17.86,0
125.0,82.0,22.54,0
59.0,34.0,18.75,0
111.0,70.0,14.88,0
310.0,122.0,30.41,0
217.0,256.0,20.39,0
311.0,260.0,15.87,0
290.0,206.0,15.27,0
252.0,23.0,20.52,0
124.0,208.0,15.87,0
112.0,209.0,18.05,0
5.0,134.0,16.28,0
283.0,44.0,16.29,0
122.0,131.0,15.02,0
49.0,154.0,17.92,0
292.0,113.0,15.57,0
149.0,210.0,21.45,0
241.0,5.0,15.87,0
212.0,82.0,18.75,0
234.0,165.0,19.46,0
139.0,101.0,18.19,0
46.0,22.0,23.29,0
298.0,442.0,22.95,0
264.0,347.0,21.45,0
251.0,344.0,23.08,0
274.0,338.0,22.2,0
148.0,35.0,22.2,0
166.0,21.0,18.48,0
285.0,119.0,21.64,0
48.0,176.0,19.21,0
166.0,199.0,16.03,0
210.0,209.0,26.1,0
