cluster_id,rep_x,rep_y,num_observations,z_levels,diameter_min,diameter_max,diameter_mean,diameter_std,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
387,173.0,225.06250000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",37.99,46.63,42.198125000000005,2.8765913394806355,37.99,38.34,38.65,39.32,39.32,40.78,41.2,41.37,43.13,42.99,43.42,45.12,45.29,46.07,46.63,45.55
265,423.0,273.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.14,46.6,43.208125,2.823863087044945,39.14,39.16,39.45,40.07,40.7,41.64,42.18,43.01,43.58,44.79,44.99,46.6,46.6,46.38,46.59,46.45
216,451.4285714285714,98.78571428571428,14,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_15",39.34,46.59,42.614285714285714,2.350874348850154,39.34,39.43,39.86,40.17,41.04,41.4,42.55,42.9,43.62,44.24,44.97,45.07,45.42,,,46.59
111,194.0,488.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.25,46.34,43.21,2.946353678701863,38.25,38.46,38.78,40.15,40.97,41.64,42.97,43.83,44.84,45.45,45.72,45.94,46.21,46.09,45.72,46.34
885,489.0,54.0,13,"z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.35,46.32,43.323076923076925,2.4024871235239162,,,,39.35,39.6,40.7,41.22,42.31,43.03,43.4,44.83,45.06,45.29,46.32,46.12,45.97
398,60.0,19.0625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",37.66,46.25,41.635000000000005,3.001195595092063,37.66,37.77,37.88,38.39,38.74,39.82,40.35,41.2,41.52,43.01,43.13,44.18,45.09,45.29,46.25,45.88
239,418.0,231.8181818181818,11,"z_0,z_2,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",37.56,45.93,41.27272727272727,2.474128279576798,45.93,,42.91,,,,,40.63,42.37,42.71,44.32,40.45,39.38,38.42,39.32,37.56
247,362.9375,196.62499999999997,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",37.81,45.91,42.251875,2.88528425538542,37.81,38.44,38.46,39.15,39.82,40.57,40.71,41.96,42.73,44.02,44.62,45.23,45.23,45.88,45.91,45.49
380,11.5,208.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",37.64,45.88,41.54125,3.015513793286312,37.64,37.67,38.0,38.32,38.76,39.83,40.1,40.57,40.99,42.71,43.35,44.31,45.5,45.5,45.88,45.53
392,117.0,93.75,12,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11",38.66,45.87,41.79666666666666,2.313742759157888,38.66,38.98,39.81,39.82,40.62,40.91,41.78,42.44,43.21,44.39,45.07,45.87,,,,
