Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
304,297.0,224.0,0.0,30.7,1.23,35.53,-4.83,126.14,664.06,0.884,32.94,0.579,z15
305,12.0,114.0,1.0,27.76,1.76,29.98,-2.22,125.96,503.47,0.905,30.61,0.58,z15
306,252.0,85.0,1.0,25.77,1.39,28.12,-2.35,133.66,455.73,0.869,28.54,0.6,z15
307,267.0,89.0,0.0,27.95,1.74,29.83,-1.88,132.04,533.85,0.921,30.76,0.577,z14
308,149.0,250.0,0.0,39.16,1.47,41.52,-2.36,120.61,1024.31,0.873,41.32,0.581,z14
309,249.0,71.0,1.0,28.53,1.49,30.83,-2.3,132.42,559.9,0.878,31.33,0.556,z15
310,80.0,114.0,0.0,27.43,1.31,29.61,-2.18,131.92,494.79,0.889,30.05,0.56,z15
311,195.0,241.0,0.0,43.75,1.39,44.88,-1.13,116.48,1317.27,0.884,45.78,0.622,z13
312,46.0,159.0,0.0,37.83,1.68,40.25,-2.42,119.07,989.58,0.893,40.65,0.629,z15
313,74.0,68.0,0.0,37.76,1.5,39.8,-2.04,121.17,989.58,0.868,40.65,0.556,z13
314,227.0,200.0,1.0,42.26,1.72,43.7,-1.44,119.18,1236.98,0.889,45.1,0.551,z13
315,224.0,259.0,0.0,30.99,1.22,33.52,-2.53,126.25,651.04,0.899,32.94,0.552,z15
316,108.0,115.0,0.0,36.92,1.67,39.05,-2.13,120.98,954.86,0.873,39.53,0.625,z15
317,248.0,14.0,1.0,35.84,1.59,37.73,-1.89,124.79,848.52,0.868,38.75,0.5,z15
318,183.0,283.0,1.0,35.42,1.83,37.84,-2.42,124.01,855.03,0.894,38.25,0.591,z15
319,199.0,65.0,1.0,30.79,1.71,32.94,-2.15,130.12,627.17,0.922,33.61,0.536,z15
320,160.0,290.0,0.0,35.1,1.52,38.25,-3.15,123.42,881.08,0.893,37.83,0.588,z15
321,170.0,202.0,0.0,37.83,1.5,41.09,-3.26,122.31,978.73,0.841,40.28,0.514,z15
322,60.0,29.0,0.0,37.78,1.83,40.48,-2.7,119.41,980.9,0.836,40.58,0.608,z15
323,267.0,148.0,0.0,49.44,1.48,50.11,-0.67,115.52,1681.86,0.858,51.45,0.63,z10
324,125.0,155.0,1.0,31.02,1.84,33.47,-2.45,127.74,631.51,0.881,33.95,0.464,z15
325,161.0,148.0,0.0,40.78,1.51,42.53,-1.75,120.84,1124.13,0.808,43.39,0.487,z12
326,217.0,276.0,0.0,42.28,1.56,43.39,-1.11,118.75,1252.17,0.917,45.1,0.667,z13
327,40.0,17.0,0.0,37.29,1.69,39.31,-2.02,120.97,972.22,0.915,40.07,0.514,z15
328,233.0,83.0,0.0,27.5,1.55,29.41,-1.91,130.94,514.32,0.913,30.33,0.538,z14
329,43.0,139.0,1.0,37.29,1.59,39.82,-2.53,119.51,946.18,0.891,40.08,0.529,z15
330,87.0,206.0,1.0,57.21,1.38,58.08,-0.87,111.81,2222.22,0.773,58.82,0.535,z14
331,51.0,44.0,0.0,30.37,1.79,32.13,-1.76,124.36,627.17,0.922,33.21,0.589,z15
332,182.0,67.0,0.0,37.47,1.56,39.61,-2.14,121.67,1002.6,0.879,40.37,0.681,z15
