Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
567,283.00,308.00,25.93,132.76,451.39,0.898,1.79,28.80,0.583
568,23.00,287.00,28.34,124.01,540.36,0.871,1.77,30.91,0.611
569,326.00,487.00,23.90,128.73,362.41,0.870,1.71,26.72,0.636
570,403.00,147.00,21.45,131.36,312.50,0.923,1.42,24.30,0.575
571,463.00,92.00,11.53,130.96,69.44,0.820,1.22,13.96,0.750
572,28.00,348.00,17.57,127.25,175.78,0.832,2.04,19.64,0.625
573,215.00,313.00,13.34,151.10,91.15,0.846,1.84,16.27,0.625
574,454.00,256.00,19.67,135.99,236.55,0.830,1.62,22.20,0.684
575,192.00,292.00,13.36,145.03,97.66,0.850,2.06,16.27,0.609
576,487.00,155.00,9.32,129.00,60.76,0.943,1.62,12.15,0.824
577,410.00,37.00,9.32,144.80,56.42,0.876,1.42,12.15,0.700
578,472.00,134.00,12.52,124.62,86.81,0.806,1.48,14.78,0.682
579,410.00,317.00,13.68,114.30,93.32,0.770,0.85,15.39,0.520
580,323.00,176.00,2.95,147.75,4.34,0.785,-1.47,0.00,0.000
581,411.00,258.00,15.87,124.89,149.74,0.904,2.12,18.02,0.800
582,333.00,77.00,12.81,130.03,97.66,0.882,1.84,15.17,0.696
583,345.00,308.00,13.34,130.71,93.32,0.812,1.75,15.02,0.611
584,402.00,65.00,20.24,130.41,238.72,0.804,1.88,22.76,0.649
585,319.00,5.00,16.30,149.12,136.72,0.800,2.62,19.21,0.679
586,417.00,134.00,19.67,117.15,223.52,0.831,1.76,22.15,0.657
587,326.00,237.00,13.48,151.38,106.34,0.846,2.10,16.34,0.560
588,334.00,317.00,14.21,127.82,121.53,0.838,1.70,17.00,0.947
589,206.00,25.00,10.42,135.45,52.08,0.769,1.39,12.39,0.533
590,421.00,142.00,13.34,117.23,91.15,0.846,2.31,16.27,0.667
591,236.00,294.00,11.88,136.61,84.64,0.841,1.36,13.99,0.667
592,281.00,188.00,7.51,140.18,23.87,0.780,0.81,7.51,0.833
593,442.00,292.00,9.32,150.89,49.91,0.846,1.10,11.53,0.650
594,429.00,198.00,13.18,129.34,102.00,0.922,1.86,15.87,0.760
595,395.00,237.00,19.71,112.87,236.55,0.880,2.22,22.59,0.833
596,390.00,176.00,14.27,140.10,125.87,0.868,1.33,16.87,0.850
597,357.00,474.00,13.96,104.74,110.68,0.809,1.35,15.87,0.600
598,304.00,503.00,12.15,104.57,93.32,0.927,2.09,15.02,0.667
599,408.00,374.00,12.52,152.81,75.95,0.755,2.31,15.14,0.667
600,406.00,353.00,14.17,129.03,112.85,0.846,1.81,16.97,0.731
601,406.00,310.00,18.78,128.15,212.67,0.878,1.29,20.91,0.656
602,444.00,446.00,49.21,118.04,1697.05,0.879,-8.20,71.33,0.825
603,422.00,395.00,15.49,131.65,128.04,0.835,1.29,17.47,0.520
604,402.00,259.00,15.38,135.65,138.89,0.857,1.97,18.22,0.714
605,262.00,254.00,46.26,117.00,1506.08,0.843,0.54,85.72,0.744
606,419.00,467.00,13.36,140.82,106.34,0.846,2.07,16.28,0.720
607,216.00,448.00,15.39,133.20,149.74,0.839,1.73,18.04,0.742
608,339.00,266.00,17.68,139.12,171.44,0.790,1.43,19.40,0.656
609,407.00,407.00,13.18,138.42,95.49,0.809,1.15,15.18,0.522
610,277.00,138.00,13.42,123.91,102.00,0.887,1.71,15.57,0.800
611,467.00,468.00,18.02,134.45,197.48,0.852,1.92,20.64,0.688
612,265.00,435.00,18.06,138.59,212.67,0.901,1.79,20.64,0.694
613,141.00,454.00,53.37,115.49,1896.70,0.842,-5.73,87.25,0.812
614,139.00,499.00,20.55,137.36,273.44,0.871,1.76,23.29,0.625
615,266.00,116.00,15.02,139.51,132.38,0.799,1.83,17.16,0.643
616,138.00,358.00,15.02,133.28,138.89,0.857,1.14,16.34,0.357
617,288.00,334.00,16.28,141.20,145.40,0.851,1.37,17.92,0.643
618,70.00,138.00,16.28,143.43,149.74,0.815,2.09,19.21,0.700
619,290.00,184.00,50.42,117.33,1673.18,0.853,2.52,94.12,0.774
620,200.00,136.00,15.21,138.02,141.06,0.852,1.90,17.86,0.700
621,329.00,434.00,19.60,135.39,212.67,0.777,2.08,22.18,0.611
622,345.00,101.00,19.60,137.13,240.89,0.798,1.51,22.23,0.889
623,340.00,84.00,22.61,135.99,334.20,0.830,1.64,25.43,0.636
624,23.00,9.00,9.32,106.39,49.91,0.846,-1.71,5.89,0.150
625,149.00,264.00,19.22,136.61,243.06,0.889,1.87,21.78,0.711
626,461.00,386.00,22.59,131.64,327.69,0.886,1.68,24.82,0.643
627,405.00,289.00,19.01,141.26,230.03,0.893,1.47,21.58,0.639
628,381.00,299.00,18.87,138.81,221.35,0.859,1.46,21.25,0.629
629,348.00,453.00,17.15,138.96,177.95,0.859,1.62,19.71,0.633
630,334.00,342.00,15.02,145.18,143.23,0.884,1.45,17.92,0.643
631,389.00,325.00,19.67,141.24,245.23,0.912,1.26,22.00,0.472
632,390.00,335.00,16.27,128.69,156.25,0.808,2.09,19.21,0.720
633,450.00,485.00,18.22,136.08,221.35,0.859,1.58,21.00,0.667
634,363.00,324.00,17.92,145.38,188.80,0.870,1.88,20.83,0.516
635,410.00,444.00,15.02,147.39,132.38,0.863,1.35,17.07,0.536
636,407.00,343.00,18.63,136.09,221.35,0.859,1.59,21.45,0.676
637,485.00,400.00,21.82,134.24,303.82,0.851,1.68,24.44,0.667
638,484.00,375.00,20.94,135.63,266.93,0.885,1.75,23.29,0.600
639,400.00,334.00,22.70,135.62,323.35,0.874,1.75,25.58,0.548
640,401.00,464.00,20.52,138.97,273.44,0.921,1.66,23.29,0.474
641,343.00,336.00,22.44,133.99,351.56,0.936,1.37,25.17,0.477
642,471.00,398.00,18.27,133.76,201.82,0.871,2.01,21.09,0.676
643,354.00,361.00,18.63,135.16,217.01,0.896,1.71,21.45,0.656
644,495.00,397.00,15.47,112.95,141.06,0.852,2.22,17.94,0.800
645,366.00,476.00,19.65,101.38,223.52,0.831,2.43,22.54,0.861
646,323.00,428.00,15.87,125.10,130.21,0.769,1.20,18.27,0.360
647,316.00,442.00,47.87,115.13,1573.35,0.820,2.03,50.56,0.604
648,464.00,417.00,13.18,131.09,112.85,0.876,1.35,15.87,0.600
649,269.00,428.00,11.79,163.08,67.27,0.820,2.10,14.73,0.632
650,214.00,399.00,15.14,140.20,132.38,0.799,2.13,17.95,0.690
651,455.00,419.00,15.02,134.71,136.72,0.892,1.83,17.92,0.692
652,350.00,279.00,17.92,143.03,203.99,0.897,1.46,20.83,0.594
653,377.00,289.00,13.60,149.35,104.17,0.851,2.17,16.50,0.609
654,358.00,422.00,18.04,139.34,199.65,0.902,0.96,19.71,0.500
655,285.00,295.00,13.36,141.50,97.66,0.850,2.06,16.27,0.652
656,123.00,114.00,18.05,112.31,171.44,0.790,2.14,20.91,0.531
657,250.00,26.00,13.34,115.27,73.78,0.754,2.06,16.27,0.550
658,99.00,136.00,15.39,136.39,145.40,0.878,1.64,18.02,0.704
659,145.00,47.00,14.73,142.95,115.02,0.750,1.47,17.68,1.000
660,111.00,234.00,16.30,131.47,162.76,0.825,1.97,18.67,0.690
661,207.00,311.00,15.57,143.17,160.59,0.855,1.35,18.17,0.656
662,122.00,292.00,12.15,142.73,93.32,0.927,1.90,15.02,0.792
663,243.00,25.00,13.60,135.27,99.83,0.815,1.57,16.50,0.583
664,238.00,72.00,16.36,137.84,162.76,0.885,1.70,18.78,0.567
665,186.00,37.00,12.15,146.78,78.12,0.799,1.90,15.02,0.636
666,95.00,247.00,22.55,126.87,323.35,0.831,1.74,24.93,0.643
667,126.00,143.00,15.02,145.79,136.72,0.892,1.78,17.92,0.643
668,11.00,254.00,17.71,127.81,199.65,0.846,2.19,20.25,0.806
669,263.00,211.00,17.00,133.02,171.44,0.869,1.91,19.36,0.630
670,156.00,239.00,15.32,137.84,141.06,0.791,1.19,17.71,0.905
671,131.00,136.00,16.47,141.14,171.44,0.869,1.37,19.21,0.625
672,240.00,62.00,19.84,124.74,243.06,0.819,1.92,22.70,0.684
673,145.00,47.00,14.73,147.69,106.34,0.817,1.47,17.68,1.000
674,142.00,259.00,11.88,138.96,80.30,0.798,1.99,14.78,0.667
675,232.00,474.00,19.71,137.93,240.89,0.896,1.12,21.45,0.639
676,279.00,257.00,21.58,139.56,290.80,0.906,1.43,24.42,0.553
677,274.00,461.00,21.08,137.95,282.12,0.833,1.98,23.94,0.575
678,79.00,422.00,20.90,133.10,290.80,0.927,1.70,23.65,0.675
679,204.00,353.00,23.81,130.22,353.73,0.849,1.53,25.60,0.659
680,236.00,463.00,21.78,137.97,316.84,0.888,1.50,24.54,0.585
681,128.00,323.00,51.67,112.77,1879.34,0.851,1.47,53.12,0.490
682,35.00,239.00,10.80,111.18,62.93,0.802,2.32,13.48,0.818
683,15.00,157.00,11.22,101.58,78.12,0.923,2.04,13.98,0.895
684,286.00,219.00,15.17,126.48,138.89,0.885,1.07,16.87,0.643
685,273.00,319.00,13.36,135.58,93.32,0.812,2.07,16.28,0.652
686,40.00,248.00,12.85,138.31,86.81,0.806,1.10,13.98,0.583
687,272.00,79.00,8.90,147.00,39.06,0.832,2.01,11.53,0.778
688,254.00,275.00,13.18,125.15,108.51,0.842,1.70,15.56,0.750
689,265.00,99.00,12.15,133.07,80.30,0.881,0.91,13.98,0.524
690,296.00,285.00,15.02,148.34,119.36,0.843,1.35,17.07,0.615
691,263.00,76.00,21.56,143.90,286.46,0.892,1.94,24.40,0.526
692,173.00,312.00,21.79,133.83,312.50,0.876,1.50,24.33,0.595
693,20.00,262.00,22.07,130.80,325.52,0.912,1.42,24.63,0.548
694,19.00,103.00,20.14,135.57,264.76,0.844,1.38,22.67,0.575
695,157.00,304.00,19.26,142.03,236.55,0.880,1.89,22.20,0.611
696,56.00,14.00,20.62,135.99,262.59,0.850,1.86,23.57,0.579
697,124.00,168.00,17.21,146.00,186.63,0.843,1.32,19.84,0.618
698,157.00,208.00,21.45,136.73,288.63,0.885,1.62,23.75,0.625
699,307.00,251.00,19.98,140.92,251.74,0.898,1.41,22.54,0.583
700,57.00,148.00,21.67,136.06,310.33,0.857,1.34,24.35,0.545
701,78.00,191.00,20.83,138.44,249.57,0.855,2.07,22.77,0.545
702,295.00,315.00,23.03,135.76,360.24,0.895,1.37,25.69,0.545
703,112.00,152.00,17.28,150.33,195.31,0.882,1.33,19.93,0.471
704,70.00,40.00,20.52,139.18,273.44,0.921,1.69,23.29,0.632
705,16.00,276.00,20.91,128.34,284.29,0.872,1.95,23.81,0.692
706,232.00,35.00,17.15,152.27,190.97,0.922,1.42,19.71,0.594
707,49.00,82.00,21.12,137.35,295.14,0.871,1.41,23.94,0.538
708,146.00,37.00,21.12,143.65,288.63,0.885,1.68,24.00,0.525
709,314.00,115.00,21.00,142.13,290.80,0.859,1.49,23.90,0.550
710,243.00,244.00,22.55,137.39,310.33,0.883,1.59,24.30,0.550
711,141.00,302.00,51.45,115.38,1655.82,0.801,2.12,54.33,0.474
712,125.00,179.00,22.76,135.88,340.71,0.876,1.75,25.58,0.610
713,196.00,86.00,55.94,113.96,2180.99,0.850,2.31,58.77,0.724
714,8.00,60.00,15.02,136.53,138.89,0.857,1.83,17.92,0.714
715,259.00,184.00,16.80,138.29,169.27,0.765,1.71,19.40,0.706
716,191.00,174.00,19.21,136.78,223.52,0.852,1.74,21.46,0.583
717,103.00,220.00,15.87,140.49,173.61,0.925,1.66,18.63,0.594
718,129.00,282.00,18.35,140.62,208.33,0.860,1.50,20.93,0.676
719,258.00,294.00,18.78,143.35,225.69,0.876,1.39,21.56,0.528
720,286.00,59.00,20.84,118.68,262.59,0.850,2.56,23.75,0.694
721,202.00,280.00,22.61,128.95,334.20,0.830,2.16,25.24,0.791
722,312.00,260.00,15.49,146.65,151.91,0.870,1.34,18.17,0.533
723,280.00,380.00,20.90,136.90,275.61,0.893,1.33,23.29,0.632
724,273.00,33.00,18.63,124.68,219.18,0.888,1.89,21.45,0.611
725,157.00,270.00,17.00,142.13,177.95,0.859,1.48,19.26,0.625
726,242.00,92.00,19.90,125.69,238.72,0.823,1.86,22.61,0.667
727,202.00,17.00,19.96,141.38,258.25,0.856,1.31,22.53,0.550
728,286.00,231.00,18.28,145.65,219.18,0.888,1.53,21.12,0.611
729,212.00,124.00,22.15,134.95,269.10,0.795,2.12,25.09,0.923
730,100.00,175.00,16.87,144.98,180.12,0.913,1.92,19.71,0.516
731,190.00,164.00,15.87,140.14,173.61,0.925,1.38,18.63,0.656
732,279.00,242.00,22.18,130.07,312.50,0.876,2.08,24.30,0.714
733,189.00,301.00,22.67,136.70,334.20,0.872,1.55,25.56,0.512
734,212.00,125.00,19.65,144.41,234.38,0.887,1.44,22.54,0.933
735,390.00,287.00,42.21,121.61,1215.28,0.907,-11.40,49.52,0.907
736,328.00,58.00,19.01,138.26,230.03,0.893,1.95,21.77,0.714
737,456.00,188.00,18.63,114.64,243.06,0.943,1.82,21.45,0.889
