Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
364,224.0,194.0,0.0,42.97,6.53,44.84,-1.87,120.83,1226.13,0.814,54.69,0.378,z13
365,43.0,303.0,0.0,42.95,5.93,44.77,-1.82,118.05,1204.43,0.829,53.37,0.326,z15
366,66.0,142.0,0.0,35.75,5.48,38.92,-3.17,122.59,894.1,0.906,45.69,0.367,z12
367,160.0,108.0,1.0,41.22,5.58,41.99,-0.77,120.53,1184.9,0.908,51.21,0.378,z12
368,97.0,253.0,0.0,37.27,5.02,39.53,-2.26,124.89,933.16,0.905,45.88,0.332,z13
369,16.0,269.0,0.0,35.42,4.37,37.62,-2.2,119.79,809.46,0.802,42.94,0.345,z15
370,84.0,16.0,0.0,42.18,5.57,45.18,-3.0,119.18,1250.0,0.876,52.59,0.405,z15
371,95.0,93.0,0.0,34.93,4.32,37.59,-2.66,125.58,835.5,0.922,42.38,0.287,z13
372,233.0,290.0,0.0,29.86,5.33,35.84,-5.98,131.58,618.49,0.909,40.53,0.409,z13
373,141.0,75.0,0.0,30.11,5.48,32.94,-2.83,129.73,609.81,0.896,40.7,0.395,z15
374,18.0,70.0,1.0,33.01,5.62,36.89,-3.88,123.05,755.21,0.925,43.59,0.405,z13
375,282.0,106.0,1.0,48.4,6.01,50.87,-2.47,116.95,1710.07,0.906,59.41,0.351,z12
376,25.0,194.0,0.0,28.56,5.93,32.13,-3.57,128.31,540.36,0.906,39.8,0.436,z15
377,86.0,178.0,0.0,29.02,5.54,32.32,-3.3,130.59,559.9,0.892,39.39,0.381,z12
378,129.0,91.0,0.0,28.49,5.57,31.73,-3.24,130.67,557.73,0.899,39.17,0.435,z15
379,228.0,117.0,0.0,35.84,6.27,38.42,-2.58,125.03,846.35,0.873,47.23,0.419,z11
380,145.0,120.0,0.0,32.94,5.08,37.83,-4.89,126.89,759.55,0.899,42.18,0.399,z15
381,92.0,53.0,1.0,29.54,5.74,33.66,-4.12,132.16,566.41,0.913,40.14,0.443,z13
382,232.0,214.0,0.0,41.55,5.64,43.59,-2.04,121.11,1254.34,0.912,52.06,0.334,z09
383,136.0,155.0,0.0,41.2,5.59,44.75,-3.55,121.18,1193.58,0.891,51.86,0.384,z15
384,80.0,270.0,1.0,57.94,5.69,59.66,-1.72,112.68,2421.88,0.914,68.05,0.336,z13
385,122.0,107.0,0.0,40.07,5.5,41.36,-1.29,122.3,1102.43,0.903,50.26,0.396,z13
386,138.0,300.0,0.0,38.75,5.49,41.87,-3.12,123.69,1056.86,0.908,48.9,0.323,z11
387,168.0,24.0,1.0,47.6,5.16,55.07,-7.47,119.22,1536.46,0.88,57.92,0.625,z12
388,162.0,250.0,0.0,35.2,5.55,38.46,-3.26,126.7,885.42,0.897,46.03,0.348,z12
389,137.0,176.0,0.0,39.29,5.5,41.75,-2.46,123.0,1082.9,0.905,49.78,0.358,z15
390,87.0,236.0,0.0,38.92,6.18,40.62,-1.7,122.29,1024.31,0.873,50.09,0.367,z11
391,204.0,202.0,1.0,42.42,5.33,45.07,-2.65,121.95,1213.11,0.889,52.41,0.396,z13
392,171.0,221.0,1.0,41.52,5.91,43.37,-1.85,121.74,1228.3,0.917,52.34,0.359,z12
393,105.0,24.0,0.0,45.14,5.94,46.58,-1.44,118.09,1440.97,0.873,55.75,0.423,z12
394,246.0,125.0,0.0,40.07,5.36,41.46,-1.39,122.94,1115.45,0.914,49.83,0.362,z13
395,131.0,134.0,0.0,43.65,5.67,46.87,-3.22,118.87,1354.17,0.915,53.53,0.413,z15
396,207.0,243.0,0.0,46.94,5.56,50.69,-3.75,118.7,1582.03,0.891,56.75,0.335,z15
397,193.0,112.0,1.0,31.56,5.71,35.61,-4.05,130.2,692.27,0.899,42.75,0.395,z15
398,304.0,102.0,0.0,40.99,5.38,43.16,-2.17,121.02,1195.75,0.909,50.66,0.375,z12
399,238.0,48.0,1.0,49.7,6.03,54.04,-4.34,117.95,1710.07,0.859,60.09,0.357,z15
400,259.0,34.0,1.0,53.17,5.37,57.32,-4.15,115.95,2044.27,0.907,63.9,0.427,z08
401,154.0,232.0,0.0,37.23,5.22,40.37,-3.14,124.8,933.16,0.868,46.25,0.361,z13
402,269.0,271.0,0.0,44.31,5.95,46.52,-2.21,121.04,1414.93,0.91,55.14,0.385,z12
403,172.0,185.0,0.0,51.45,4.98,54.07,-2.62,117.57,1799.05,0.87,60.34,0.385,z12
404,24.0,121.0,0.0,46.95,5.84,48.5,-1.55,112.58,1553.82,0.89,56.9,0.33,z11
405,38.0,278.0,1.0,64.04,5.59,64.68,-0.64,110.44,2805.99,0.802,73.39,0.339,z13
406,301.0,123.0,1.0,41.9,6.38,42.95,-1.05,120.42,1243.49,0.887,53.44,0.416,z15
407,177.0,123.0,1.0,48.62,6.21,50.43,-1.81,117.14,1651.48,0.909,58.99,0.358,z15
408,182.0,243.0,0.0,45.77,5.37,46.99,-1.22,119.86,1473.52,0.909,55.3,0.365,z12
409,194.0,223.0,0.0,47.75,5.32,49.68,-1.93,119.19,1623.26,0.899,57.62,0.373,z12
410,133.0,228.0,1.0,48.74,5.62,51.31,-2.57,117.34,1718.75,0.89,59.27,0.364,z11
411,111.0,293.0,1.0,44.01,5.97,45.72,-1.71,119.11,1386.72,0.907,54.53,0.359,z11
412,245.0,235.0,0.0,45.8,5.26,48.03,-2.23,119.78,1493.06,0.905,55.22,0.311,z11
413,148.0,38.0,0.0,47.55,5.77,49.61,-2.06,118.54,1623.26,0.908,58.14,0.373,z15
414,99.0,213.0,1.0,47.57,5.14,51.28,-3.71,117.41,1625.43,0.895,56.86,0.353,z13
415,266.0,127.0,0.0,40.56,6.04,42.59,-2.03,122.03,1152.34,0.9,51.13,0.394,z13
416,244.0,148.0,0.0,47.23,5.93,50.39,-3.16,119.13,1608.07,0.914,57.89,0.38,z15
417,156.0,166.0,1.0,44.99,5.9,48.43,-3.44,118.48,1417.1,0.895,55.26,0.33,z15
418,225.0,231.0,0.0,32.13,5.64,35.63,-3.5,130.91,716.15,0.908,42.75,0.362,z12
419,104.0,274.0,0.0,37.01,5.38,40.31,-3.3,123.86,972.22,0.889,47.34,0.319,z12
420,289.0,13.0,0.0,44.71,6.27,46.84,-2.13,120.47,1434.46,0.906,56.06,0.348,z15
421,116.0,258.0,1.0,40.76,3.85,43.13,-2.37,120.83,1171.88,0.898,48.01,0.325,z12
422,65.0,235.0,1.0,41.3,5.81,44.39,-3.09,120.54,1189.24,0.912,52.07,0.382,z13
423,186.0,64.0,0.0,41.59,4.98,46.23,-4.64,122.15,1226.13,0.875,51.05,0.358,z11
424,248.0,262.0,0.0,45.99,5.71,49.73,-3.74,119.34,1514.76,0.897,57.41,0.574,z15
425,207.0,66.0,1.0,37.94,5.54,41.17,-3.23,125.68,1011.28,0.862,48.65,0.394,z13
426,148.0,16.0,1.0,37.29,5.28,39.83,-2.54,124.27,987.41,0.884,47.66,0.384,z13
427,196.0,89.0,0.0,64.89,6.76,65.39,-0.5,111.24,3007.81,0.869,75.49,0.348,z12
428,211.0,168.0,0.0,39.36,5.7,42.8,-3.44,123.02,1095.92,0.916,49.93,0.387,z13
430,308.0,19.0,0.0,35.42,5.92,37.69,-2.27,127.29,859.38,0.898,46.05,0.384,z12
431,279.0,140.0,0.0,28.96,5.78,31.51,-2.55,133.49,570.75,0.92,40.07,0.379,z12
432,307.0,217.0,0.0,48.39,5.55,49.99,-1.6,125.49,1597.22,0.885,59.07,0.318,z09
433,211.0,111.0,0.0,34.19,5.26,38.25,-4.06,128.22,813.8,0.898,44.22,0.363,z15
434,188.0,166.0,0.0,51.69,5.51,51.86,-0.17,116.41,1822.92,0.869,60.56,0.331,z12
435,217.0,146.0,0.0,38.25,5.54,40.45,-2.2,124.24,978.73,0.876,47.85,0.404,z11
436,90.0,294.0,0.0,43.35,5.51,44.46,-1.11,119.72,1269.53,0.802,53.15,0.342,z11
437,231.0,273.0,1.0,32.76,5.6,36.63,-3.87,129.33,748.7,0.895,43.33,0.362,z13
438,168.0,75.0,1.0,40.02,5.35,42.18,-2.16,121.73,1093.75,0.896,49.08,0.419,z13
439,134.0,197.0,1.0,33.83,5.56,36.55,-2.72,126.44,789.93,0.892,44.34,0.408,z13
