Center_X_px,Center_Y_px,Diameter_μm,slide
277.0,362.0,38.54,z13
449.0,472.0,38.52,z11
353.0,205.0,38.48,z15
490.0,300.0,38.46,z15
162.0,250.0,38.46,z12
430.0,477.0,38.44,z15
228.0,117.0,38.42,z11
340.0,192.0,38.42,z13
330.0,431.0,38.39,z12
354.0,460.0,38.38,z15
134.0,53.0,38.35,z13
88.0,36.0,38.32,z11
478.0,265.0,38.28,z11
335.0,210.0,38.25,z13
211.0,111.0,38.25,z15
456.0,430.0,38.15,z13
118.0,9.0,38.06,z13
322.0,367.0,38.01,z15
226.0,66.0,37.83,z11
57.0,167.0,37.83,z13
145.0,120.0,37.83,z15
473.0,424.0,37.73,z13
41.0,199.0,37.73,z12
308.0,19.0,37.69,z12
378.0,290.0,37.66,z11
468.0,446.0,37.65,z12
221.0,96.0,37.65,z15
16.0,269.0,37.62,z15
17.0,361.0,37.61,z13
95.0,93.0,37.59,z13
252.0,465.0,37.56,z13
318.0,385.0,37.56,z13
449.0,107.0,37.56,z13
481.0,225.0,37.56,z15
403.0,249.0,37.5,z15
41.0,418.0,37.36,z13
395.0,167.0,37.25,z13
327.0,401.0,37.22,z11
400.0,100.0,37.2,z13
274.0,461.0,37.1,z13
150.0,189.0,36.98,z15
299.0,487.0,36.95,z12
331.0,264.0,36.92,z09
437.0,409.0,36.92,z01
395.0,498.0,36.92,z15
18.0,71.0,36.89,z13
262.0,109.0,36.87,z15
320.0,129.0,36.82,z13
357.0,169.0,36.76,z13
85.0,459.0,36.71,z15
273.0,73.0,36.69,z15
192.0,186.0,36.65,z11
228.0,161.0,36.65,z15
232.0,273.0,36.63,z13
135.0,197.0,36.55,z13
262.0,367.0,36.53,z13
466.0,465.0,36.51,z12
215.0,128.0,36.51,z15
196.0,279.0,36.48,z15
100.0,168.0,36.45,z15
9.0,138.0,36.45,z00
427.0,220.0,36.44,z15
435.0,252.0,36.44,z13
344.0,330.0,36.4,z15
265.0,299.0,36.38,z13
460.0,12.0,36.38,z09
496.0,396.0,36.12,z12
413.0,83.0,36.05,z15
198.0,50.0,36.03,z13
243.0,432.0,35.96,z13
214.0,219.0,35.96,z13
432.0,394.0,35.93,z15
168.0,382.0,35.89,z13
60.0,447.0,35.86,z13
286.0,434.0,35.84,z12
233.0,290.0,35.84,z13
129.0,393.0,35.81,z13
264.0,146.0,35.78,z15
266.0,225.0,35.72,z15
335.0,385.0,35.7,z15
225.0,231.0,35.63,z12
194.0,112.0,35.61,z15
300.0,390.0,35.61,z15
158.0,452.0,35.5,z13
443.0,360.0,35.49,z15
271.0,90.0,35.48,z15
282.0,495.0,35.46,z12
251.0,216.0,35.45,z13
491.0,155.0,35.44,z13
107.0,136.0,35.29,z12
314.0,478.0,35.23,z15
230.0,134.0,35.2,z15
54.0,25.0,35.15,z15
402.0,336.0,35.08,z00
194.0,258.0,35.06,z13
399.0,372.0,34.99,z13
113.0,91.0,34.96,z13
327.0,169.0,34.9,z15
429.0,151.0,34.88,z12
308.0,141.0,34.88,z15
122.0,186.0,34.76,z15
191.0,426.0,34.76,z13
376.0,457.0,34.74,z15
406.0,298.0,34.62,z15
354.0,57.0,34.6,z15
76.0,249.0,34.57,z13
51.0,151.0,34.41,z13
278.0,478.0,34.37,z11
477.0,401.0,34.35,z13
173.0,93.0,34.32,z15
313.0,157.0,34.24,z15
9.0,439.0,34.17,z02
287.0,246.0,34.03,z15
297.0,448.0,34.02,z13
417.0,100.0,34.01,z13
157.0,90.0,34.0,z13
441.0,132.0,33.93,z13
341.0,134.0,33.9,z15
394.0,277.0,33.71,z13
317.0,415.0,33.67,z13
91.0,53.0,33.66,z13
347.0,180.0,33.59,z13
343.0,274.0,33.53,z13
277.0,192.0,33.47,z15
328.0,180.0,33.36,z13
294.0,418.0,33.31,z12
47.0,57.0,33.14,z12
267.0,383.0,33.11,z13
371.0,407.0,33.11,z12
453.0,142.0,33.09,z15
467.0,76.0,33.04,z15
383.0,51.0,32.94,z11
119.0,148.0,32.94,z15
75.0,306.0,32.94,z12
118.0,49.0,32.94,z15
80.0,347.0,32.94,z15
483.0,208.0,32.94,z15
141.0,75.0,32.94,z15
226.0,9.0,32.94,z12
199.0,347.0,32.82,z15
407.0,266.0,32.81,z11
495.0,489.0,32.63,z01
203.0,438.0,32.62,z15
40.0,165.0,32.61,z13
451.0,455.0,32.61,z13
339.0,169.0,32.61,z12
480.0,53.0,32.61,z15
414.0,369.0,32.52,z15
243.0,448.0,32.51,z12
347.0,71.0,32.36,z15
374.0,429.0,32.34,z13
293.0,355.0,32.34,z13
45.0,476.0,32.34,z12
86.0,178.0,32.32,z12
154.0,373.0,32.31,z13
496.0,37.0,32.18,z15
385.0,489.0,32.17,z04
25.0,194.0,32.13,z15
62.0,295.0,32.12,z15
417.0,333.0,32.06,z13
366.0,235.0,32.04,z13
458.0,28.0,32.04,z15
407.0,67.0,31.92,z15
347.0,345.0,31.89,z15
208.0,185.0,31.86,z15
301.0,295.0,31.81,z15
