Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
681,68.00,204.00,10.28,126.67,68.50,0.864
682,94.00,131.00,10.30,129.93,70.00,0.897
683,243.00,105.00,20.12,118.52,229.00,0.861
684,143.00,89.00,10.85,125.83,78.00,0.841
685,208.00,28.00,22.24,114.67,313.50,0.811
686,238.00,178.00,20.59,115.74,293.00,0.891
687,183.00,204.00,19.37,115.10,238.50,0.865
688,228.00,251.00,21.42,114.73,318.50,0.873
689,168.00,75.00,19.54,115.77,258.00,0.882
690,105.00,24.00,21.67,113.62,335.00,0.861
691,296.00,307.00,9.88,129.04,64.00,0.885
692,70.00,68.00,8.77,102.66,48.50,0.853
693,220.00,20.00,7.82,130.53,38.00,0.879
694,50.00,190.00,6.90,136.24,31.00,0.928
695,275.00,22.00,8.81,131.21,44.50,0.834
696,123.00,59.00,6.71,137.36,26.00,0.846
697,179.00,302.00,9.31,128.72,57.50,0.876
698,169.00,312.00,10.10,128.46,60.00,0.830
699,104.00,124.00,7.65,136.93,35.00,0.870
700,238.00,420.00,8.06,132.06,39.00,0.876
701,168.00,238.00,8.14,131.92,39.00,0.817
702,14.00,111.00,8.19,122.87,40.00,0.838
703,132.00,118.00,9.71,124.66,59.00,0.816
704,114.00,37.00,6.90,142.90,31.00,0.928
705,79.00,136.00,9.43,127.09,56.50,0.860
706,105.00,56.00,10.12,128.05,68.50,0.912
707,62.00,14.00,8.60,130.17,45.00,0.859
708,245.00,149.00,21.63,116.07,322.00,0.868
709,442.00,263.00,10.12,129.32,63.50,0.893
710,420.00,123.00,5.59,127.41,19.00,0.879
711,333.00,126.00,10.97,103.05,58.50,0.779
712,363.00,153.00,10.30,133.76,72.00,0.923
713,442.00,71.00,8.49,138.49,33.50,0.851
714,377.00,233.00,7.84,122.73,33.50,0.851
715,351.00,262.00,10.30,99.87,62.50,0.879
716,376.00,244.00,11.24,119.73,76.50,0.897
717,450.00,67.00,8.47,132.48,44.50,0.856
718,393.00,290.00,11.75,124.54,78.50,0.818
719,487.00,314.00,10.12,128.27,67.50,0.898
720,463.00,190.00,9.80,109.10,59.00,0.816
721,378.00,62.00,8.08,134.56,40.50,0.891
722,397.00,114.00,8.94,133.38,50.00,0.896
723,465.00,257.00,11.40,126.23,75.50,0.843
724,328.00,301.00,11.03,128.05,82.00,0.884
725,387.00,233.00,9.28,100.31,55.00,0.873
726,321.00,266.00,10.65,118.93,67.50,0.792
727,277.00,164.00,8.98,132.86,43.00,0.821
728,205.00,138.00,9.01,135.62,51.00,0.914
729,259.00,35.00,26.70,114.08,493.00,0.869
730,368.00,60.00,10.03,129.19,66.00,0.913
731,501.00,249.00,9.31,128.56,54.00,0.836
732,365.00,5.00,9.43,137.68,55.00,0.852
733,471.00,66.00,6.75,131.89,25.50,0.881
734,505.00,44.00,6.90,122.68,31.00,0.928
735,238.00,49.00,24.52,116.15,411.50,0.846
736,309.00,189.00,7.62,98.78,38.00,0.879
737,495.00,207.00,4.47,105.11,12.00,0.809
738,401.00,207.00,7.82,106.27,37.50,0.825
739,409.00,168.00,10.36,106.07,68.00,0.871
740,415.00,255.00,10.26,103.38,67.50,0.852
741,451.00,94.00,7.92,133.55,35.00,0.786
742,364.00,291.00,8.47,100.31,43.00,0.843
743,454.00,206.00,8.67,109.75,42.50,0.850
744,431.00,307.00,6.53,132.49,25.00,0.813
745,442.00,209.00,19.26,119.98,231.00,0.855
746,474.00,253.00,6.32,120.76,24.00,0.809
747,331.00,6.00,8.06,131.00,39.00,0.876
748,366.00,116.00,9.43,120.42,53.50,0.864
749,37.00,429.00,5.39,133.35,18.00,0.923
750,12.00,227.00,7.39,116.72,33.00,0.913
751,210.00,280.00,6.44,132.64,23.50,0.887
752,296.00,429.00,6.41,123.06,25.00,0.919
753,231.00,357.00,4.47,108.76,14.00,0.943
754,253.00,299.00,8.28,125.57,41.50,0.853
755,294.00,409.00,4.81,110.53,12.00,0.809
756,148.00,291.00,7.28,115.40,32.00,0.885
757,48.00,322.00,5.43,95.32,17.50,0.870
758,217.00,388.00,6.71,111.56,26.50,0.916
759,167.00,505.00,4.47,100.10,13.00,0.876
760,132.00,451.00,7.97,126.92,38.50,0.847
761,263.00,471.00,6.71,122.30,27.00,0.878
762,194.00,223.00,23.79,114.81,396.00,0.890
763,283.00,269.00,4.47,139.18,10.50,0.880
764,161.00,479.00,19.94,116.65,275.50,0.886
765,315.00,337.00,6.71,135.95,27.00,0.878
766,444.00,59.00,10.82,132.21,75.00,0.849
767,373.00,196.00,9.50,102.48,55.50,0.845
768,463.00,190.00,9.25,116.51,51.50,0.883
769,483.00,124.00,8.94,133.27,46.00,0.824
770,382.00,91.00,19.98,117.75,283.00,0.917
771,450.00,67.00,8.06,139.28,38.50,0.909
772,453.00,78.00,10.77,131.70,78.00,0.902
773,378.00,147.00,11.01,129.56,81.00,0.873
774,357.00,302.00,10.83,110.82,75.50,0.843
775,420.00,162.00,10.82,128.73,73.00,0.888
776,463.00,40.00,10.12,131.11,67.00,0.859
777,424.00,43.00,11.03,129.22,76.50,0.897
778,259.00,34.00,25.10,113.62,434.00,0.861
779,394.00,263.00,10.90,111.14,79.50,0.887
780,459.00,88.00,10.04,131.52,67.50,0.898
781,320.00,65.00,10.87,131.59,76.50,0.897
782,460.00,165.00,10.28,132.68,67.50,0.852
783,344.00,293.00,23.21,117.10,368.00,0.865
784,309.00,334.00,8.61,127.33,37.00,0.798
785,99.00,344.00,5.83,92.75,19.50,0.841
786,57.00,303.00,5.39,144.58,16.00,0.820
787,173.00,321.00,7.21,132.00,32.00,0.857
