Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
35,494.0,196.0,40.46,z_13,24.78,414.5,0.907,9,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_8,z_9","25.51,33.18,37.81,40.46,36.38,33.67,30.18,12.12,16.98"
36,67.0,75.0,40.36,z_13,33.95,783.42,0.865,10,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_7,z_8,z_9","29.08,35.19,40.14,40.36,38.95,35.50,30.75,13.14,17.39,24.48"
37,210.0,421.0,37.73,z_12,29.61,596.79,0.877,10,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_7,z_8,z_9","27.02,33.66,37.73,37.61,36.82,31.61,27.13,11.17,15.23,21.55"
38,255.0,72.0,37.01,z_8,66.22,3224.83,0.896,17,"z_0,z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","15.55,21.02,35.84,34.36,31.90,29.79,26.67,24.53,20.78,25.28,29.26,31.75,35.45,36.15,36.86,37.01,36.66"
39,235.0,207.0,31.87,z_5,89.58,5928.82,0.877,15,"z_0,z_1,z_10,z_11,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8","28.90,29.95,27.62,26.70,24.02,21.34,19.67,17.19,31.08,31.53,31.86,31.87,31.57,30.88,30.40"
40,116.0,363.0,27.68,z_14,19.93,238.72,0.873,7,"z_10,z_11,z_12,z_13,z_14,z_15,z_16","10.31,15.49,19.10,24.40,27.68,27.32,23.79"
41,351.0,424.0,15.26,z_14,22.61,308.16,0.864,3,"z_12,z_13,z_14","11.93,13.90,15.26"
42,457.0,143.0,12.78,z_16,38.02,809.46,0.813,2,"z_15,z_16","10.29,12.78"
43,476.0,221.0,12.72,z_16,29.02,371.09,0.762,2,"z_15,z_16","10.28,12.72"
44,500.0,254.0,12.39,z_16,34.93,748.7,0.849,1,z_16,12.39
45,388.0,417.0,12.22,z_15,19.71,206.16,0.836,1,z_15,12.22
46,443.0,154.0,11.75,z_15,22.44,297.31,0.821,1,z_15,11.75
47,360.0,357.0,11.73,z_16,26.68,414.5,0.851,4,"z_13,z_14,z_15,z_16","10.16,10.68,10.91,11.73"
48,440.0,111.0,11.6,z_16,16.8,141.06,0.791,1,z_16,11.60
49,441.0,43.0,11.56,z_15,25.5,410.16,0.88,1,z_15,11.56
50,431.0,144.0,11.54,z_15,31.22,588.11,0.803,1,z_15,11.54
51,484.0,239.0,11.17,z_15,39.75,946.18,0.854,2,"z_15,z_16","11.17,10.77"
52,425.0,123.0,11.1,z_15,39.39,983.07,0.821,2,"z_15,z_16","11.10,10.97"
53,498.0,177.0,11.09,z_15,29.23,460.07,0.794,1,z_15,11.09
54,257.0,115.0,11.08,z_16,19.71,203.99,0.792,1,z_16,11.08
55,283.0,440.0,11.05,z_15,25.97,375.43,0.821,1,z_15,11.05
56,448.0,123.0,11.02,z_15,41.46,967.88,0.849,2,"z_15,z_16","11.02,10.74"
57,448.0,211.0,11.01,z_15,36.44,705.3,0.721,1,z_15,11.01
58,402.0,125.0,10.99,z_15,23.75,301.65,0.815,1,z_15,10.99
59,392.0,20.0,10.83,z_15,25.17,345.05,0.845,1,z_15,10.83
60,468.0,262.0,10.82,z_16,45.91,1143.66,0.748,1,z_16,10.82
61,444.0,168.0,10.77,z_15,23.92,286.46,0.803,1,z_15,10.77
62,429.0,172.0,10.76,z_16,32.4,709.64,0.89,1,z_16,10.76
63,353.0,136.0,10.73,z_15,25.45,360.24,0.798,1,z_15,10.73
64,314.0,441.0,10.73,z_16,30.41,494.79,0.82,1,z_16,10.73
65,459.0,80.0,10.71,z_16,35.23,720.49,0.788,1,z_16,10.71
66,408.0,113.0,10.7,z_15,25.53,384.11,0.824,1,z_15,10.70
67,464.0,14.0,10.68,z_15,29.83,505.64,0.848,1,z_15,10.68
68,493.0,103.0,10.66,z_15,35.42,705.3,0.815,2,"z_15,z_16","10.66,10.05"
69,499.0,219.0,10.64,z_16,41.16,1104.6,0.85,1,z_16,10.64
70,379.0,320.0,10.61,z_15,31.32,594.62,0.821,1,z_15,10.61
71,376.0,158.0,10.59,z_15,31.85,614.15,0.839,2,"z_15,z_16","10.59,10.13"
72,397.0,165.0,10.52,z_15,33.73,696.61,0.862,1,z_15,10.52
