Rank,Fluorescent_X,Fluorescent_Y,Fluorescent_Max_Intensity,Fluorescent_Diameter,Fluorescent_Area,Fluorescent_Circularity,Z_Level,Droplets_At_Location,BF_Mask_ID,BF_X,BF_Y,BF_Diameter,BF_Intensity,BF_Area,BF_Circularity,XY_Distance,Match_Status
72,397.0,165.0,10.52,33.73,696.61,0.862,z_15,1,67.0,397.0,165.0,43.58,110.43,1221.79,0.82,0.0,MATCHED
73,466.0,205.0,10.51,35.63,789.93,0.864,z_15,2,154.0,467.0,205.0,44.56,110.92,1369.36,0.896,1.0,MATCHED
76,409.0,96.0,10.5,32.61,546.88,0.813,z_15,1,298.0,409.0,96.0,37.12,112.68,868.06,0.827,0.0,MATCHED
77,408.0,25.0,10.48,34.67,672.74,0.853,z_15,1,26.0,409.0,24.0,39.86,111.35,1052.52,0.879,1.4142135623730951,MATCHED
82,411.0,139.0,10.4,36.06,813.8,0.882,z_15,1,79.0,411.0,139.0,40.86,110.78,1139.32,0.867,0.0,MATCHED
87,495.0,162.0,10.29,23.41,321.18,0.838,z_15,1,58.0,495.0,162.0,28.58,116.48,533.85,0.885,0.0,MATCHED
88,441.0,187.0,10.28,36.38,716.15,0.809,z_15,2,151.0,441.0,186.0,39.23,110.42,1067.71,0.851,1.0,MATCHED
89,455.0,177.0,10.26,25.17,332.03,0.797,z_15,1,24.0,455.0,177.0,30.01,113.88,607.64,0.839,0.0,MATCHED
90,353.0,104.0,10.22,32.39,625.0,0.804,z_15,1,296.0,353.0,104.0,44.64,110.35,1382.38,0.852,0.0,MATCHED
94,354.0,232.0,10.13,28.05,499.13,0.897,z_15,1,25.0,354.0,232.0,32.94,111.58,748.7,0.895,0.0,MATCHED
95,362.0,195.0,10.05,37.27,842.01,0.827,z_15,1,140.0,363.0,196.0,45.49,108.69,1501.74,0.889,1.4142135623730951,MATCHED
98,372.0,141.0,10.0,29.04,518.66,0.836,z_15,1,41.0,372.0,141.0,33.2,114.27,753.04,0.871,0.0,MATCHED
2,381.0,121.0,55.55,58.48,2478.3,0.884,z_9,17,,,,58.48,,,,,FALLBACK_FLUORESCENT
11,444.0,424.0,47.93,40.03,1130.64,0.884,z_11,13,,,,40.03,,,,,FALLBACK_FLUORESCENT
21,313.0,313.0,44.67,67.96,3396.27,0.898,z_7,17,,,,67.96,,,,,FALLBACK_FLUORESCENT
32,119.0,219.0,41.42,34.93,861.55,0.892,z_12,11,,,,34.93,,,,,FALLBACK_FLUORESCENT
39,235.0,207.0,31.87,89.58,5928.82,0.877,z_5,15,,,,89.58,,,,,FALLBACK_FLUORESCENT
41,351.0,424.0,15.26,22.61,308.16,0.864,z_14,3,,,,22.61,,,,,FALLBACK_FLUORESCENT
42,457.0,143.0,12.78,38.02,809.46,0.813,z_16,2,,,,38.02,,,,,FALLBACK_FLUORESCENT
43,476.0,221.0,12.72,29.02,371.09,0.762,z_16,2,,,,29.02,,,,,FALLBACK_FLUORESCENT
44,500.0,254.0,12.39,34.93,748.7,0.849,z_16,1,,,,34.93,,,,,FALLBACK_FLUORESCENT
47,360.0,357.0,11.73,26.68,414.5,0.851,z_16,4,,,,26.68,,,,,FALLBACK_FLUORESCENT
48,440.0,111.0,11.6,16.8,141.06,0.791,z_16,1,,,,16.8,,,,,FALLBACK_FLUORESCENT
52,425.0,123.0,11.1,39.39,983.07,0.821,z_15,2,,,,39.39,,,,,FALLBACK_FLUORESCENT
54,257.0,115.0,11.08,19.71,203.99,0.792,z_16,1,,,,19.71,,,,,FALLBACK_FLUORESCENT
60,468.0,262.0,10.82,45.91,1143.66,0.748,z_16,1,,,,45.91,,,,,FALLBACK_FLUORESCENT
62,429.0,172.0,10.76,32.4,709.64,0.89,z_16,1,,,,32.4,,,,,FALLBACK_FLUORESCENT
64,314.0,441.0,10.73,30.41,494.79,0.82,z_16,1,,,,30.41,,,,,FALLBACK_FLUORESCENT
65,459.0,80.0,10.71,35.23,720.49,0.788,z_16,1,,,,35.23,,,,,FALLBACK_FLUORESCENT
69,499.0,219.0,10.64,41.16,1104.6,0.85,z_16,1,,,,41.16,,,,,FALLBACK_FLUORESCENT
74,393.0,104.0,10.51,31.81,614.15,0.826,z_16,1,,,,31.81,,,,,FALLBACK_FLUORESCENT
75,432.0,229.0,10.51,32.19,679.25,0.823,z_16,1,,,,32.19,,,,,FALLBACK_FLUORESCENT
78,473.0,309.0,10.48,32.94,670.57,0.841,z_16,1,,,,32.94,,,,,FALLBACK_FLUORESCENT
79,429.0,99.0,10.47,39.55,935.33,0.781,z_16,1,,,,39.55,,,,,FALLBACK_FLUORESCENT
80,474.0,183.0,10.44,45.8,1273.87,0.846,z_15,1,,,,45.8,,,,,FALLBACK_FLUORESCENT
81,249.0,344.0,10.43,23.02,292.97,0.769,z_16,2,,,,23.02,,,,,FALLBACK_FLUORESCENT
83,361.0,153.0,10.4,32.54,601.13,0.809,z_16,2,,,,32.54,,,,,FALLBACK_FLUORESCENT
84,263.0,444.0,10.4,21.25,273.44,0.825,z_16,1,,,,21.25,,,,,FALLBACK_FLUORESCENT
85,347.0,301.0,10.32,26.72,421.01,0.838,z_16,1,,,,26.72,,,,,FALLBACK_FLUORESCENT
86,421.0,353.0,10.31,41.13,881.08,0.855,z_16,1,,,,41.13,,,,,FALLBACK_FLUORESCENT
91,436.0,201.0,10.17,25.86,388.45,0.834,z_16,1,,,,25.86,,,,,FALLBACK_FLUORESCENT
92,497.0,144.0,10.15,42.9,1204.43,0.906,z_16,1,,,,42.9,,,,,FALLBACK_FLUORESCENT
93,460.0,298.0,10.15,37.09,811.63,0.876,z_16,1,,,,37.09,,,,,FALLBACK_FLUORESCENT
96,500.0,86.0,10.04,38.25,865.89,0.858,z_16,1,,,,38.25,,,,,FALLBACK_FLUORESCENT
97,373.0,347.0,10.04,40.16,974.39,0.792,z_16,1,,,,40.16,,,,,FALLBACK_FLUORESCENT
