BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
146,979.00,606.00,43.49,182.34,1404.84,0.895,138,979.00,604.00,46.27,43.05,1496.19,0.892
147,672.00,791.00,55.84,172.96,2326.64,0.896,70,672.00,788.00,57.20,50.70,2417.30,0.891
149,478.00,857.00,47.62,178.78,1674.05,0.893,60,479.00,855.00,49.62,42.73,1815.22,0.907
150,993.00,518.00,45.44,183.90,1523.18,0.876,68,992.00,516.00,48.06,43.82,1678.20,0.879
151,792.00,759.00,48.35,178.93,1715.57,0.888,126,792.00,757.00,50.85,45.21,1899.65,0.889
152,907.00,424.00,48.22,182.32,1710.73,0.888,28,907.00,423.00,51.20,45.05,1894.81,0.879
152,907.00,424.00,48.22,182.32,1710.73,0.888,242,907.00,423.00,51.34,45.15,1920.42,0.873
153,442.00,560.00,36.83,195.13,990.31,0.908,124,442.00,558.00,38.87,37.72,1101.04,0.884
155,931.00,875.00,62.90,164.05,2938.41,0.893,97,931.00,873.00,64.30,54.67,3076.12,0.891
156,742.00,966.00,46.37,177.87,1572.32,0.896,73,742.00,964.00,48.75,43.61,1764.71,0.894
158,748.00,652.00,43.94,185.12,1433.91,0.913,74,749.00,650.00,47.02,43.78,1584.08,0.906
158,748.00,652.00,43.94,185.12,1433.91,0.913,243,749.00,651.00,48.94,44.73,1632.53,0.898
159,641.00,504.00,42.58,189.55,1314.88,0.891,1,643.00,502.00,44.96,42.47,1460.21,0.895
161,914.00,772.00,44.48,179.70,1453.98,0.887,57,914.00,770.00,46.83,43.47,1592.39,0.899
163,836.00,859.00,44.35,180.86,1448.44,0.901,249,836.00,856.00,47.25,43.87,1632.53,0.866
164,956.00,582.00,30.69,200.77,683.04,0.882,152,956.00,579.00,31.69,33.69,691.35,0.876
166,743.00,866.00,43.77,182.67,1422.84,0.889,130,743.00,863.00,46.56,43.86,1550.17,0.895
168,513.00,918.00,40.42,183.77,1205.54,0.909,107,514.00,916.00,42.63,40.59,1268.51,0.881
169,711.00,697.00,43.47,183.82,1387.54,0.905,129,711.00,695.00,45.96,43.38,1491.35,0.905
171,850.00,897.00,46.77,176.83,1611.76,0.882,94,850.00,895.00,49.50,44.01,1737.72,0.894
171,850.00,897.00,46.77,176.83,1611.76,0.882,218,850.00,895.00,49.50,45.00,1765.40,0.893
172,708.00,901.00,46.90,179.56,1627.68,0.899,6,708.00,898.00,49.64,45.19,1811.76,0.902
173,446.00,961.00,46.80,180.72,1611.76,0.893,136,446.00,958.00,49.00,45.21,1733.56,0.886
175,795.00,595.00,43.88,185.52,1411.07,0.890,127,795.00,594.00,46.21,43.78,1558.48,0.888
177,614.00,396.00,46.03,185.50,1564.01,0.891,12,615.00,395.00,48.11,41.34,1727.34,0.886
177,614.00,396.00,46.03,185.50,1564.01,0.891,383,615.00,394.00,48.12,42.11,1634.60,0.871
178,992.00,706.00,48.20,176.88,1719.03,0.893,71,992.00,704.00,50.91,46.76,1919.03,0.898
179,717.00,510.00,33.19,203.16,808.30,0.897,96,718.00,508.00,35.58,36.95,896.19,0.892
180,961.00,494.00,42.66,187.69,1339.10,0.886,110,960.00,493.00,45.72,41.69,1507.96,0.896
180,961.00,494.00,42.66,187.69,1339.10,0.886,248,960.00,493.00,46.19,42.60,1548.79,0.883
181,986.00,377.00,43.53,185.96,1393.08,0.879,404,987.00,376.00,46.30,42.76,1555.02,0.878
186,976.00,655.00,49.16,177.18,1763.32,0.893,123,976.00,653.00,51.79,45.15,1961.25,0.895
189,994.00,415.00,43.60,183.55,1405.54,0.886,5,995.00,414.00,46.78,45.36,1561.25,0.890
190,630.00,935.00,46.38,179.72,1586.85,0.896,100,631.00,933.00,48.51,44.63,1729.41,0.890
194,671.00,880.00,44.12,182.21,1434.60,0.892,47,672.00,878.00,46.47,42.68,1543.25,0.903
196,893.00,941.00,45.53,177.69,1485.12,0.898,141,894.00,939.00,48.06,42.53,1659.52,0.888
197,711.00,736.00,45.74,182.41,1525.95,0.889,39,711.00,735.00,47.64,44.08,1669.20,0.894
197,711.00,736.00,45.74,182.41,1525.95,0.889,624,711.00,734.00,48.36,44.87,1678.20,0.886
198,863.00,437.00,47.48,182.66,1683.04,0.901,36,863.00,435.00,50.47,45.47,1823.53,0.878
203,507.00,544.00,45.69,185.63,1547.40,0.882,63,508.00,542.00,47.76,45.17,1649.83,0.883
205,563.00,889.00,46.19,180.66,1581.31,0.893,119,564.00,887.00,48.55,44.38,1720.42,0.882
206,819.00,633.00,43.77,184.86,1386.16,0.899,69,819.00,632.00,45.72,42.74,1517.65,0.885
207,752.00,398.00,46.02,186.86,1550.87,0.892,77,753.00,396.00,48.15,42.80,1706.57,0.891
211,408.00,941.00,47.75,179.66,1675.43,0.905,128,409.00,939.00,49.94,44.58,1806.23,0.877
212,988.00,916.00,42.55,170.53,1321.80,0.901,147,988.00,913.00,44.49,48.85,1452.60,0.898
213,744.00,487.00,45.70,185.32,1523.18,0.876,23,746.00,486.00,47.80,44.54,1680.97,0.885
214,891.00,901.00,46.07,177.18,1554.33,0.886,115,891.00,898.00,48.29,44.27,1648.44,0.883
215,546.00,537.00,42.54,187.92,1325.95,0.886,121,546.00,536.00,43.84,42.47,1383.39,0.885
218,813.00,944.00,46.45,177.16,1562.63,0.902,125,813.00,942.00,48.06,43.41,1702.42,0.900
218,813.00,944.00,46.45,177.16,1562.63,0.902,609,814.00,942.00,49.05,43.54,1777.16,0.885
219,900.00,732.00,49.26,176.00,1782.01,0.869,40,899.00,730.00,51.24,45.76,1936.33,0.894
222,854.00,946.00,45.05,176.76,1485.81,0.907,148,854.00,944.00,47.43,42.09,1613.84,0.891
222,854.00,946.00,45.05,176.76,1485.81,0.907,238,854.00,944.00,48.13,42.94,1700.35,0.891
225,663.00,399.00,46.27,184.53,1573.70,0.897,80,663.00,398.00,47.81,43.08,1682.35,0.897
226,869.00,785.00,43.81,181.81,1387.54,0.900,144,869.00,783.00,45.67,43.04,1524.57,0.889
230,819.00,824.00,43.54,182.16,1367.47,0.871,145,819.00,821.00,45.78,42.83,1525.26,0.897
231,940.00,822.00,48.74,173.68,1668.51,0.838,88,940.00,819.00,51.11,44.26,1911.42,0.898
233,440.00,659.00,29.00,203.30,604.15,0.897,154,441.00,658.00,30.59,31.89,631.83,0.892
234,475.00,686.00,47.21,182.40,1652.60,0.901,0,475.00,684.00,48.79,44.53,1748.10,0.892
238,821.00,582.00,21.78,216.05,332.18,0.863,211,822.00,582.00,22.25,28.93,302.42,0.859
240,925.00,571.00,45.35,187.14,1500.35,0.883,108,924.00,570.00,46.21,42.34,1543.94,0.888
241,543.00,618.00,47.04,181.98,1626.99,0.890,55,544.00,617.00,47.88,45.39,1639.45,0.886
243,979.00,606.00,44.42,187.05,1447.06,0.895,138,979.00,604.00,46.27,43.05,1496.19,0.892
245,439.00,417.00,74.71,173.59,3679.58,0.758,13,439.00,416.00,72.33,52.34,3906.57,0.890
245,439.00,417.00,74.71,173.59,3679.58,0.758,643,439.00,416.00,72.51,51.11,3941.18,0.891
250,79.00,396.00,61.87,164.24,2881.66,0.896,250,80.00,394.00,62.65,52.40,2928.72,0.890
251,222.00,890.00,48.87,176.55,1749.48,0.897,261,222.00,887.00,51.05,42.19,1895.50,0.902
252,263.00,637.00,48.01,176.37,1701.04,0.895,380,264.00,635.00,50.60,39.47,1878.20,0.893
256,178.00,524.00,43.93,179.72,1429.76,0.893,323,180.00,522.00,45.85,42.76,1512.80,0.873
257,309.00,655.00,60.17,171.00,2706.57,0.894,280,310.00,653.00,61.30,48.27,2795.16,0.884
257,309.00,655.00,60.17,171.00,2706.57,0.894,610,310.00,653.00,62.75,46.43,2859.52,0.886
259,261.00,439.00,44.25,186.85,1433.91,0.901,318,262.00,438.00,45.90,42.94,1498.96,0.877
260,149.00,677.00,48.60,174.68,1757.09,0.893,253,151.00,675.00,50.79,37.77,1899.65,0.900
261,229.00,417.00,43.81,184.60,1409.69,0.877,310,230.00,416.00,45.46,45.50,1489.27,0.900
262,298.00,698.00,44.24,182.94,1431.14,0.894,292,299.00,697.00,46.54,39.73,1555.71,0.887
263,135.00,894.00,48.68,170.87,1749.48,0.897,254,136.00,892.00,51.09,38.64,1915.57,0.889
263,135.00,894.00,48.68,170.87,1749.48,0.897,373,136.00,892.00,52.73,37.59,1960.55,0.871
264,201.00,769.00,47.65,176.84,1691.35,0.906,272,202.00,768.00,50.38,40.66,1810.38,0.890
264,201.00,769.00,47.65,176.84,1691.35,0.906,627,202.00,767.00,51.01,39.94,1870.59,0.886
265,186.00,731.00,45.95,177.40,1553.63,0.889,268,187.00,729.00,47.86,37.75,1666.44,0.892
266,59.00,698.00,47.51,174.00,1672.66,0.904,286,60.00,696.00,49.16,36.35,1773.01,0.883
268,188.00,563.00,46.12,180.98,1566.09,0.896,326,189.00,561.00,47.38,38.39,1618.69,0.886
269,331.00,769.00,48.30,178.92,1737.02,0.902,274,330.00,768.00,50.60,44.58,1878.89,0.879
272,309.00,430.00,71.77,169.98,3874.05,0.899,256,310.00,428.00,71.26,51.23,3734.26,0.889
273,88.00,493.00,56.89,167.16,2432.53,0.887,283,88.00,492.00,58.16,49.59,2503.11,0.890
274,369.00,756.00,42.60,185.45,1335.64,0.905,289,369.00,755.00,45.16,40.76,1470.59,0.897
275,362.00,547.00,44.25,186.09,1444.98,0.890,257,362.00,545.00,46.26,39.40,1562.63,0.902
278,258.00,551.00,44.12,185.79,1424.22,0.890,287,260.00,549.00,46.48,37.96,1584.78,0.891
279,142.00,410.00,49.39,173.39,1823.53,0.889,375,143.00,410.00,54.33,27.63,1830.45,0.851
281,132.00,474.00,54.90,171.04,2230.45,0.899,263,133.00,472.00,56.29,51.09,2303.11,0.887
