Center_X_px,Center_Y_px,Diameter_μm,slide
318.0,317.0,41.61,z13
337.0,309.0,41.5,z13
484.0,115.0,41.43,z13
70.0,474.0,41.4,z13
481.0,164.0,41.4,z13
416.0,35.0,41.16,z13
314.0,373.0,41.15,z13
105.0,413.0,41.15,z13
373.0,161.0,41.12,z13
208.0,174.0,41.12,z13
285.0,416.0,41.12,z13
302.0,410.0,41.06,z13
404.0,362.0,41.03,z13
421.0,146.0,41.01,z13
317.0,114.0,41.0,z13
386.0,424.0,41.0,z13
237.0,344.0,40.9,z08
35.0,169.0,40.88,z13
219.0,392.0,40.88,z13
225.0,167.0,40.88,z12
413.0,422.0,40.87,z13
59.0,334.0,40.86,z13
197.0,447.0,40.65,z13
240.0,383.0,40.65,z13
229.0,308.0,40.51,z13
498.0,169.0,40.51,z13
112.0,111.0,40.49,z13
190.0,349.0,40.37,z13
134.0,102.0,40.26,z13
258.0,444.0,40.2,z13
172.0,400.0,40.2,z13
305.0,496.0,40.2,z10
316.0,153.0,40.2,z13
185.0,174.0,40.2,z13
190.0,106.0,40.14,z13
257.0,153.0,40.08,z13
25.0,72.0,40.07,z13
298.0,121.0,40.03,z13
390.0,182.0,40.01,z13
443.0,378.0,39.99,z13
239.0,469.0,39.99,z13
23.0,310.0,39.98,z13
387.0,320.0,39.94,z13
76.0,397.0,39.89,z13
166.0,51.0,39.88,z13
47.0,432.0,39.85,z13
54.0,449.0,39.85,z13
246.0,431.0,39.83,z13
307.0,274.0,39.81,z12
362.0,51.0,39.81,z13
176.0,124.0,39.8,z11
440.0,356.0,39.79,z13
296.0,430.0,39.75,z13
336.0,241.0,39.72,z13
304.0,81.0,39.66,z13
75.0,121.0,39.51,z13
14.0,355.0,39.42,z13
109.0,431.0,39.4,z13
426.0,180.0,39.38,z13
22.0,427.0,39.36,z13
278.0,380.0,39.31,z13
172.0,495.0,39.27,z13
180.0,384.0,39.27,z13
346.0,122.0,39.26,z13
170.0,369.0,39.21,z13
72.0,355.0,39.18,z13
388.0,151.0,39.17,z13
463.0,499.0,39.17,z05
144.0,214.0,39.06,z13
200.0,276.0,39.06,z13
322.0,82.0,39.06,z13
299.0,318.0,39.02,z13
258.0,68.0,38.99,z13
111.0,52.0,38.94,z13
298.0,207.0,38.94,z13
77.0,334.0,38.9,z13
357.0,171.0,38.76,z13
52.0,416.0,38.68,z13
472.0,286.0,38.65,z13
449.0,433.0,38.57,z13
224.0,203.0,38.56,z13
334.0,423.0,38.53,z13
356.0,68.0,38.47,z13
168.0,259.0,38.4,z13
306.0,240.0,38.36,z13
231.0,44.0,38.27,z13
371.0,36.0,38.24,z13
139.0,440.0,38.24,z13
173.0,198.0,38.13,z13
306.0,303.0,38.08,z13
496.0,186.0,38.04,z13
365.0,497.0,37.98,z13
378.0,405.0,37.97,z13
206.0,341.0,37.83,z13
449.0,87.0,37.83,z13
300.0,158.0,37.81,z13
55.0,352.0,37.67,z13
377.0,300.0,37.67,z13
376.0,192.0,37.67,z13
388.0,392.0,37.67,z13
410.0,109.0,37.55,z13
374.0,70.0,37.54,z13
482.0,35.0,37.38,z13
223.0,342.0,37.22,z13
188.0,191.0,37.22,z13
66.0,135.0,37.13,z13
245.0,316.0,37.0,z13
385.0,489.0,36.99,z07
223.0,375.0,36.94,z13
257.0,387.0,36.94,z13
467.0,118.0,36.94,z13
255.0,343.0,36.94,z06
305.0,257.0,36.94,z13
354.0,85.0,36.85,z13
353.0,242.0,36.84,z13
174.0,445.0,36.76,z13
215.0,267.0,36.7,z13
183.0,21.0,36.59,z13
247.0,333.0,36.57,z13
479.0,363.0,36.57,z13
480.0,181.0,36.57,z12
233.0,28.0,36.5,z13
234.0,399.0,36.48,z13
104.0,226.0,36.48,z13
496.0,489.0,36.45,z12
496.0,436.0,36.33,z13
334.0,110.0,36.29,z13
134.0,474.0,36.29,z13
160.0,106.0,36.19,z13
467.0,424.0,36.13,z13
268.0,186.0,36.1,z13
293.0,334.0,36.05,z13
154.0,164.0,36.05,z13
385.0,455.0,36.02,z13
495.0,230.0,35.95,z13
148.0,49.0,35.94,z13
104.0,285.0,35.87,z13
270.0,281.0,35.87,z13
257.0,105.0,35.8,z13
405.0,148.0,35.74,z13
247.0,355.0,35.64,z13
370.0,321.0,35.6,z13
57.0,490.0,35.59,z11
179.0,334.0,35.42,z13
123.0,90.0,35.4,z13
90.0,14.0,35.4,z13
142.0,133.0,35.33,z13
323.0,300.0,35.29,z13
484.0,256.0,35.24,z13
8.0,121.0,35.23,z13
231.0,359.0,35.18,z13
464.0,439.0,35.17,z13
323.0,387.0,35.09,z13
492.0,64.0,35.05,z13
252.0,192.0,34.82,z13
437.0,19.0,34.7,z13
114.0,347.0,34.58,z13
319.0,8.0,34.55,z05
282.0,126.0,34.5,z13
408.0,18.0,34.4,z13
313.0,45.0,34.33,z13
195.0,329.0,34.16,z13
