Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
121,198.0,483.0,0.0,40.24,1.86,43.18,-2.94,114.17,1110.9,0.903,43.49,0.352,z13
122,43.0,368.0,0.0,49.6,3.46,51.69,-2.09,105.55,1569.46,0.788,55.49,0.26,z13
124,141.0,493.0,1.0,29.92,3.36,32.5,-2.58,123.59,633.24,0.868,36.5,0.39,z13
125,124.0,426.0,1.0,31.93,3.1,34.06,-2.13,118.9,679.64,0.871,36.68,0.463,z13
126,134.0,474.0,0.0,32.82,2.39,36.29,-3.47,120.73,747.88,0.897,36.94,0.352,z13
127,197.0,447.0,0.0,37.4,2.7,40.65,-3.25,115.47,966.24,0.897,41.34,0.352,z13
128,188.0,406.0,1.0,38.76,2.88,42.64,-3.88,115.55,1026.29,0.922,43.17,0.368,z13
129,90.0,408.0,0.0,26.9,2.68,28.91,-2.01,122.97,483.12,0.88,31.48,0.424,z13
130,24.0,465.0,0.0,29.09,3.17,30.82,-1.73,117.13,551.36,0.872,33.21,0.507,z13
131,172.0,495.0,0.0,37.83,3.08,39.27,-1.44,113.31,968.97,0.891,41.79,0.485,z13
132,226.0,454.0,0.0,45.5,2.7,47.87,-2.37,109.95,1400.23,0.87,50.17,0.355,z13
133,305.0,496.0,0.0,40.09,0.56,40.2,-0.11,102.1,1146.39,0.884,40.88,0.588,z10
134,139.0,439.0,1.0,35.4,2.47,38.24,-2.84,115.66,870.71,0.899,39.06,0.427,z13
135,157.0,437.0,0.0,40.81,2.79,45.02,-4.21,115.01,1165.49,0.891,45.37,0.398,z13
136,114.0,347.0,0.0,32.47,2.55,34.58,-2.11,120.46,715.13,0.892,36.94,0.395,z13
137,179.0,334.0,0.0,33.21,2.72,35.42,-2.21,121.73,761.53,0.89,38.36,0.321,z13
138,109.0,431.0,0.0,35.77,2.75,39.4,-3.63,119.65,887.09,0.916,40.67,0.35,z13
139,428.0,369.0,0.0,31.83,2.95,34.02,-2.19,122.26,685.1,0.878,36.68,0.403,z13
140,121.0,370.0,0.0,29.35,2.22,31.85,-2.5,120.39,595.03,0.865,33.35,0.442,z13
141,239.0,469.0,0.0,36.57,2.72,39.99,-3.42,115.82,944.41,0.919,40.87,0.397,z13
142,232.0,439.0,1.0,28.77,3.29,30.77,-2.0,125.43,556.82,0.844,34.73,0.389,z13
143,278.0,471.0,0.0,44.76,2.96,46.42,-1.66,109.58,1400.23,0.87,48.12,0.43,z13
