Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
136,114.00,347.00,32.47,120.46,715.13,0.892,2.55,36.94,0.395
137,179.00,334.00,33.21,121.73,761.53,0.890,2.72,38.36,0.321
138,109.00,431.00,35.77,119.65,887.09,0.916,2.75,40.67,0.350
139,428.00,369.00,31.83,122.26,685.10,0.878,2.95,36.68,0.403
140,121.00,370.00,29.35,120.39,595.03,0.865,2.22,33.35,0.442
141,239.00,469.00,36.57,115.82,944.41,0.919,2.72,40.87,0.397
142,232.00,439.00,28.77,125.43,556.82,0.844,3.29,34.73,0.389
143,278.00,471.00,44.76,109.58,1400.23,0.870,2.96,48.12,0.430
144,300.00,471.00,44.94,107.43,1413.88,0.871,2.79,47.31,0.500
145,47.00,432.00,36.57,115.33,933.49,0.909,3.16,42.12,0.350
146,382.00,214.00,41.77,117.74,1231.00,0.876,3.15,47.36,0.361
147,190.00,349.00,37.79,117.28,999.00,0.897,3.08,43.09,0.344
148,145.00,421.00,45.22,110.85,1381.12,0.899,2.32,48.72,0.317
149,185.00,365.00,29.30,125.49,573.19,0.907,2.30,33.21,0.321
150,269.00,347.00,29.66,126.74,605.95,0.918,2.65,34.91,0.297
151,302.00,410.00,38.04,119.40,985.35,0.865,3.08,43.23,0.378
152,105.00,413.00,38.92,114.65,1023.56,0.898,2.85,43.46,0.387
153,55.00,352.00,34.91,114.28,827.04,0.885,2.46,38.89,0.373
154,54.00,449.00,37.05,117.08,925.30,0.910,2.05,40.20,0.308
155,278.00,336.00,26.80,128.99,458.56,0.846,3.46,33.04,0.339
156,88.00,464.00,52.45,105.52,1888.81,0.840,3.23,57.19,0.444
157,405.00,148.00,33.45,121.79,791.55,0.915,2.72,38.89,0.414
158,437.00,151.00,29.33,131.02,570.46,0.931,2.91,34.77,0.270
159,495.00,231.00,33.86,122.04,769.72,0.924,2.47,38.53,0.320
160,463.00,225.00,30.84,127.88,657.81,0.928,2.23,35.30,0.298
161,354.00,152.00,42.12,114.27,1187.33,0.870,3.17,48.17,0.255
162,371.00,36.00,35.78,121.83,884.36,0.891,3.04,41.72,0.356
163,391.00,199.00,30.46,127.77,625.05,0.882,2.48,35.19,0.321
164,356.00,68.00,35.75,121.55,876.17,0.905,2.49,40.20,0.351
165,467.00,118.00,34.57,122.40,810.66,0.880,2.69,39.94,0.333
166,359.00,306.00,45.77,112.80,1334.72,0.843,2.18,50.14,0.156
167,368.00,442.00,52.62,104.91,1940.67,0.849,2.45,54.36,0.460
168,471.00,250.00,26.91,132.08,477.66,0.912,2.39,31.48,0.268
169,432.00,165.00,28.69,128.20,570.46,0.891,3.13,34.88,0.311
170,325.00,198.00,39.44,117.64,1037.21,0.862,3.19,45.37,0.333
171,418.00,162.00,29.66,129.25,611.41,0.927,2.70,35.05,0.328
172,472.00,286.00,36.27,121.06,933.49,0.909,2.67,41.62,0.266
173,322.00,182.00,29.66,124.40,592.30,0.925,2.59,34.73,0.232
174,411.00,191.00,27.08,131.17,494.04,0.900,3.11,33.21,0.344
175,323.00,300.00,32.11,125.60,728.78,0.898,2.42,36.94,0.350
176,467.00,44.00,28.24,130.44,537.71,0.878,2.24,32.06,0.319
177,338.00,309.00,38.65,119.49,1045.40,0.889,2.88,44.08,0.284
178,321.00,98.00,29.30,129.80,581.38,0.908,2.88,35.05,0.292
179,341.00,75.00,31.35,128.45,682.37,0.936,2.57,36.50,0.269
180,334.00,110.00,33.50,124.31,777.91,0.909,2.48,38.36,0.329
181,438.00,303.00,52.14,109.14,1853.33,0.830,2.34,56.57,0.304
182,390.00,99.00,29.66,128.99,595.03,0.902,2.70,35.05,0.317
183,387.00,167.00,26.64,129.07,494.04,0.859,2.69,32.01,0.387
184,416.00,303.00,43.83,115.13,1345.64,0.869,2.91,49.29,0.352
185,421.00,146.00,38.79,119.15,1023.56,0.882,2.95,44.08,0.327
186,385.00,231.00,30.85,127.45,641.43,0.869,2.41,35.66,0.325
187,330.00,126.00,31.09,125.04,655.08,0.863,3.05,36.94,0.329
188,426.00,388.00,42.75,113.60,1293.78,0.902,2.76,47.52,0.364
189,486.00,273.00,38.86,119.42,1023.56,0.898,3.27,44.88,0.264
190,479.00,136.00,44.70,114.06,1315.62,0.857,2.66,48.65,0.352
191,401.00,90.00,28.91,128.39,573.19,0.869,2.15,33.21,0.278
192,331.00,213.00,28.44,129.27,545.90,0.919,2.54,33.40,0.333
