Center_X_px,Center_Y_px,Diameter_μm,slide
425.0,463.0,42.98,z_15
371.0,368.0,42.97,z_14
149.0,381.0,42.97,z_13
286.0,275.0,42.95,z_1
224.0,91.0,42.95,z_15
297.0,39.0,42.95,z_15
254.0,365.0,42.91,z_13
214.0,293.0,42.77,z_14
404.0,284.0,42.77,z_15
132.0,279.0,42.7,z_15
432.0,376.0,42.53,z_15
362.0,164.0,42.49,z_0
75.0,169.0,42.48,z_11
485.0,30.0,42.38,z_15
119.0,299.0,42.37,z_11
199.0,353.0,42.32,z_15
419.0,43.0,42.31,z_14
193.0,263.0,42.24,z_15
214.0,340.0,42.18,z_14
475.0,92.0,42.18,z_15
465.0,473.0,42.18,z_13
34.0,168.0,41.9,z_15
108.0,495.0,41.87,z_10
163.0,163.0,41.84,z_15
313.0,134.0,41.81,z_14
257.0,247.0,41.8,z_15
319.0,411.0,41.69,z_15
395.0,83.0,41.67,z_15
491.0,103.0,41.67,z_14
48.0,214.0,41.6,z_14
356.0,381.0,41.54,z_15
276.0,130.0,41.54,z_15
159.0,263.0,41.46,z_10
321.0,41.0,41.36,z_15
86.0,203.0,41.22,z_15
275.0,223.0,41.21,z_14
457.0,451.0,41.2,z_13
440.0,78.0,41.04,z_15
131.0,20.0,40.99,z_1
88.0,408.0,40.97,z_15
365.0,398.0,40.96,z_15
81.0,389.0,40.95,z_14
339.0,69.0,40.93,z_15
101.0,187.0,40.93,z_15
13.0,240.0,40.87,z_15
146.0,361.0,40.86,z_15
411.0,139.0,40.86,z_15
492.0,309.0,40.76,z_14
126.0,462.0,40.76,z_14
438.0,357.0,40.73,z_13
249.0,432.0,40.7,z_15
163.0,300.0,40.68,z_15
471.0,409.0,40.62,z_14
500.0,255.0,40.61,z_15
408.0,338.0,40.55,z_14
417.0,159.0,40.55,z_15
381.0,457.0,40.52,z_15
485.0,331.0,40.48,z_0
218.0,271.0,40.45,z_14
437.0,299.0,40.45,z_15
414.0,59.0,40.45,z_4
275.0,406.0,40.43,z_15
279.0,243.0,40.42,z_15
460.0,298.0,40.25,z_15
352.0,454.0,40.25,z_1
75.0,108.0,40.24,z_15
301.0,250.0,40.17,z_13
430.0,144.0,40.13,z_15
225.0,136.0,40.11,z_15
98.0,59.0,40.1,z_15
349.0,248.0,40.08,z_15
48.0,131.0,40.07,z_15
231.0,38.0,40.07,z_14
59.0,451.0,40.05,z_15
29.0,149.0,40.04,z_15
137.0,344.0,40.02,z_15
429.0,25.0,40.01,z_15
124.0,498.0,39.92,z_15
409.0,24.0,39.86,z_15
180.0,278.0,39.83,z_15
256.0,227.0,39.81,z_15
271.0,279.0,39.73,z_14
171.0,181.0,39.71,z_15
105.0,231.0,39.71,z_15
81.0,442.0,39.71,z_14
126.0,68.0,39.67,z_14
103.0,24.0,39.65,z_15
163.0,244.0,39.6,z_14
187.0,139.0,39.55,z_15
271.0,182.0,39.53,z_10
88.0,158.0,39.44,z_15
226.0,414.0,39.44,z_14
60.0,232.0,39.32,z_15
499.0,446.0,39.31,z_15
441.0,186.0,39.29,z_14
299.0,496.0,39.26,z_15
41.0,233.0,39.13,z_15
457.0,143.0,39.06,z_15
146.0,442.0,39.0,z_15
280.0,356.0,38.98,z_15
169.0,88.0,38.97,z_15
271.0,261.0,38.92,z_15
235.0,340.0,38.91,z_15
