Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
537,453.00,453.00,6.44,139.45,23.50,0.887
538,332.00,475.00,6.40,117.62,19.50,0.808
539,272.00,323.00,6.72,167.97,27.00,0.809
540,325.00,462.00,5.59,161.41,19.00,0.879
541,375.00,216.00,4.81,146.90,13.00,0.876
542,391.00,152.00,6.72,163.41,27.00,0.809
543,201.00,502.00,8.14,150.77,37.50,0.849
544,364.00,215.00,6.41,139.77,21.50,0.812
545,359.00,181.00,8.94,151.83,52.00,0.876
546,245.00,277.00,6.85,175.28,29.00,0.868
547,501.00,201.00,8.81,126.97,45.50,0.852
548,245.00,182.00,5.39,135.08,17.00,0.871
549,120.00,23.00,4.35,136.50,9.50,0.796
550,374.00,393.00,8.26,155.64,41.00,0.804
551,483.00,468.00,8.98,160.75,47.00,0.842
552,201.00,502.00,7.21,171.15,29.50,0.835
553,374.00,393.00,7.92,171.13,34.00,0.820
554,499.00,468.00,10.44,148.78,68.50,0.864
555,312.00,400.00,4.47,130.00,10.50,0.880
556,40.00,170.00,5.15,132.48,15.00,0.857
557,327.00,341.00,10.40,148.65,69.00,0.857
558,137.00,39.00,6.48,172.32,24.50,0.846
559,468.00,138.00,10.78,139.18,78.50,0.876
560,490.00,168.00,9.43,158.48,55.50,0.896
561,348.00,260.00,5.05,184.35,12.50,0.774
562,505.00,290.00,5.83,143.69,17.50,0.834
563,39.00,170.00,5.83,126.10,20.50,0.884
564,355.00,356.00,7.21,158.44,34.00,0.911
565,399.00,355.00,7.62,166.87,34.00,0.845
566,335.00,391.00,7.07,165.81,26.00,0.846
567,462.00,208.00,6.13,176.94,22.00,0.887
568,483.00,216.00,6.40,169.59,22.00,0.780
569,477.00,336.00,7.07,152.87,29.00,0.802
570,364.00,352.00,10.82,162.46,72.00,0.876
571,257.00,390.00,7.21,161.33,32.50,0.920
572,301.00,334.00,5.15,195.48,15.00,0.857
573,235.00,475.00,7.48,156.98,35.00,0.870
574,488.00,323.00,8.29,162.77,45.00,0.882
575,320.00,396.00,10.01,118.62,62.50,0.879
576,323.00,386.00,9.59,157.46,58.00,0.848
577,358.00,235.00,7.30,157.07,32.50,0.852
578,461.00,487.00,9.43,160.01,57.50,0.827
579,87.00,71.00,5.05,182.95,14.50,0.898
580,278.00,420.00,5.20,120.36,15.00,0.898
581,247.00,269.00,6.09,167.03,20.50,0.804
582,347.00,361.00,7.84,162.09,33.00,0.884
583,116.00,299.00,8.19,169.09,43.00,0.901
584,365.00,484.00,5.00,167.37,11.50,0.803
585,432.00,323.00,10.55,162.21,71.00,0.864
586,411.00,486.00,6.48,158.03,24.00,0.883
587,279.00,393.00,10.82,129.51,74.50,0.874
588,279.00,409.00,5.83,114.47,21.50,0.927
589,225.00,478.00,9.22,153.15,53.50,0.885
590,328.00,439.00,8.60,168.88,44.50,0.890
591,495.00,410.00,10.40,158.99,68.00,0.871
592,412.00,379.00,10.82,159.81,76.00,0.924
593,322.00,431.00,8.67,126.04,44.00,0.863
594,123.00,176.00,5.44,176.68,17.50,0.870
595,60.00,184.00,5.15,129.67,13.50,0.836
596,109.00,293.00,7.21,155.56,32.00,0.857
597,6.00,294.00,4.47,136.42,12.50,0.919
598,231.00,219.00,4.27,140.69,10.00,0.806
599,109.00,306.00,5.83,154.90,22.00,0.887
600,209.00,311.00,8.06,147.58,43.00,0.843
601,127.00,38.00,9.03,161.28,52.00,0.876
602,313.00,51.00,7.81,158.78,34.50,0.815
603,315.00,135.00,7.24,150.90,31.50,0.825
604,154.00,315.00,6.32,146.91,25.00,0.919
605,254.00,292.00,7.07,179.30,26.00,0.753
606,81.00,24.00,7.82,167.46,35.00,0.809
607,172.00,240.00,8.50,153.02,42.50,0.850
608,230.00,241.00,8.60,169.81,46.00,0.878
609,230.00,250.00,5.83,177.48,18.50,0.881
610,187.00,27.00,7.48,163.36,36.00,0.832
611,294.00,257.00,8.67,166.67,48.00,0.883
612,154.00,35.00,5.18,160.52,15.00,0.769
613,90.00,207.00,5.83,179.25,23.00,0.927
614,79.00,187.00,4.24,128.53,8.50,0.820
615,102.00,186.00,6.85,168.62,30.00,0.898
616,295.00,173.00,5.83,144.23,21.50,0.927
617,208.00,406.00,10.98,152.82,78.00,0.841
618,152.00,403.00,10.12,160.33,66.00,0.846
619,223.00,326.00,11.07,153.64,81.00,0.873
620,110.00,352.00,10.82,156.17,73.50,0.862
621,146.00,417.00,19.78,136.28,265.00,0.836
622,314.00,335.00,11.21,156.55,83.00,0.895
623,67.00,121.00,4.47,135.44,11.50,0.846
624,45.00,126.00,7.57,162.37,35.00,0.870
625,123.00,123.00,4.12,130.85,7.00,0.750
626,133.00,132.00,5.83,133.04,19.00,0.766
627,222.00,233.00,10.30,153.88,71.00,0.910
628,131.00,177.00,5.68,175.88,16.50,0.786
629,242.00,205.00,5.18,134.30,15.00,0.769
630,199.00,262.00,5.39,154.65,18.00,0.923
631,242.00,205.00,4.61,135.61,11.00,0.840
632,143.00,275.00,6.64,173.44,24.50,0.777
633,120.00,23.00,5.27,131.13,15.50,0.858
634,306.00,125.00,5.83,152.90,22.00,0.887
635,293.00,247.00,6.57,174.47,26.50,0.841
636,68.00,302.00,7.07,156.89,28.00,0.838
637,125.00,47.00,5.95,161.64,19.00,0.843
638,173.00,48.00,7.21,155.68,30.50,0.863
639,270.00,264.00,7.82,167.34,35.50,0.781
640,136.00,204.00,10.67,153.79,75.50,0.886
641,69.00,174.00,10.67,148.82,74.50,0.874
642,134.00,48.00,9.25,163.59,53.00,0.893
643,19.00,125.00,8.29,159.28,45.00,0.882
644,166.00,26.00,9.39,158.87,57.50,0.876
645,197.00,22.00,8.81,165.89,49.00,0.878
646,268.00,112.00,10.82,158.18,75.50,0.886
647,206.00,50.00,9.85,160.34,63.00,0.921
648,309.00,237.00,10.98,161.12,75.50,0.886
649,218.00,245.00,10.49,155.96,74.00,0.855
650,110.00,211.00,9.40,166.07,55.50,0.896
