Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
37,494.0,196.0,40.46,z13,11.9,95.5,0.907,10,"z08,z09,z10,z11,z12,z13,z14,z15,z16,z16","12.12,16.98,25.51,33.18,37.81,40.46,36.38,33.67,30.18,26.46"
38,67.0,75.0,40.36,z13,16.3,180.5,0.865,10,"z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","13.14,17.39,24.48,29.08,35.19,40.14,40.36,38.95,35.50,30.75"
39,210.0,421.0,37.73,z12,14.21,137.5,0.877,10,"z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","11.17,15.23,21.55,27.02,33.66,37.73,37.61,36.82,31.61,27.13"
40,255.0,72.0,37.01,z08,31.79,743.0,0.896,17,"z00,z01,z02,z03,z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","15.55,21.02,25.28,29.26,31.75,35.45,36.15,36.86,37.01,36.66,35.84,34.36,31.90,29.79,26.67,24.53,20.78"
41,235.0,207.0,31.87,z05,43.0,1366.0,0.877,23,"z00,z01,z02,z03,z04,z05,z06,z07,z08,z08,z09,z09,z10,z10,z11,z11,z12,z12,z13,z14,z15,z16,z16","28.90,29.95,31.08,31.53,31.86,31.87,31.57,30.88,30.40,30.59,29.37,30.45,27.62,29.53,26.70,29.06,24.97,27.73,24.02,21.34,19.67,17.19,18.65"
42,116.0,363.0,27.68,z14,9.57,55.0,0.873,7,"z10,z11,z12,z13,z14,z15,z16","10.31,15.49,19.10,24.40,27.68,27.32,23.79"
43,351.0,424.0,15.26,z14,10.85,71.0,0.864,3,"z12,z13,z14","11.93,13.90,15.26"
44,459.0,61.0,13.31,z03,38.48,585.0,0.598,1,z03,13.31
45,457.0,143.0,12.78,z16,18.25,186.5,0.813,2,"z15,z16","10.29,12.78"
46,476.0,221.0,12.72,z16,13.93,85.5,0.762,2,"z15,z16","10.28,12.72"
47,500.0,254.0,12.39,z16,16.77,172.5,0.849,1,z16,12.39
48,388.0,417.0,12.22,z15,9.46,47.5,0.836,2,"z15,z15","10.64,12.22"
49,461.0,139.0,11.94,z16,28.85,376.0,0.707,1,z16,11.94
50,443.0,154.0,11.75,z15,10.77,68.5,0.821,1,z15,11.75
51,360.0,357.0,11.73,z16,12.81,95.5,0.851,4,"z13,z14,z15,z16","10.16,10.68,10.91,11.73"
52,440.0,111.0,11.6,z16,8.06,32.5,0.791,1,z16,11.60
53,441.0,43.0,11.56,z15,12.24,94.5,0.88,1,z15,11.56
54,431.0,144.0,11.54,z15,14.99,135.5,0.803,1,z15,11.54
55,484.0,239.0,11.17,z15,19.08,218.0,0.854,2,"z15,z16","11.17,10.77"
56,425.0,123.0,11.1,z15,18.9,226.5,0.821,2,"z15,z16","11.10,10.97"
57,498.0,177.0,11.09,z15,14.03,106.0,0.794,1,z15,11.09
58,257.0,115.0,11.08,z16,9.46,47.0,0.792,1,z16,11.08
59,283.0,440.0,11.05,z15,12.47,86.5,0.821,1,z15,11.05
60,448.0,123.0,11.02,z15,19.9,223.0,0.849,2,"z15,z16","11.02,10.74"
61,448.0,211.0,11.01,z15,17.49,162.5,0.721,1,z15,11.01
62,402.0,125.0,10.99,z15,11.4,69.5,0.815,1,z15,10.99
63,392.0,20.0,10.83,z15,12.08,79.5,0.845,1,z15,10.83
64,468.0,262.0,10.82,z16,22.04,263.5,0.748,1,z16,10.82
65,444.0,168.0,10.77,z15,11.48,66.0,0.803,1,z15,10.77
66,429.0,172.0,10.76,z16,15.55,163.5,0.89,1,z16,10.76
67,353.0,136.0,10.73,z15,12.22,83.0,0.798,1,z15,10.73
68,314.0,441.0,10.73,z16,14.6,114.0,0.82,1,z16,10.73
69,459.0,80.0,10.71,z16,16.91,166.0,0.788,1,z16,10.71
70,408.0,113.0,10.7,z15,12.26,88.5,0.824,1,z15,10.70
71,464.0,14.0,10.68,z15,14.32,116.5,0.848,1,z15,10.68
72,493.0,103.0,10.66,z15,17.0,162.5,0.815,2,"z15,z16","10.66,10.05"
73,499.0,219.0,10.64,z16,19.76,254.5,0.85,1,z16,10.64
74,379.0,320.0,10.61,z15,15.03,137.0,0.821,1,z15,10.61
75,123.0,491.0,10.6,z08,32.02,380.0,0.58,1,z08,10.60
76,376.0,158.0,10.59,z15,15.29,141.5,0.839,2,"z15,z16","10.59,10.13"
77,397.0,165.0,10.52,z15,16.19,160.5,0.862,1,z15,10.52
78,466.0,205.0,10.51,z15,17.1,182.0,0.864,2,"z15,z16","10.51,10.38"
79,393.0,104.0,10.51,z16,15.27,141.5,0.826,1,z16,10.51
80,432.0,229.0,10.51,z16,15.45,156.5,0.823,1,z16,10.51
81,409.0,96.0,10.5,z15,15.65,126.0,0.813,1,z15,10.50
82,408.0,25.0,10.48,z15,16.64,155.0,0.853,1,z15,10.48
83,473.0,309.0,10.48,z16,15.81,154.5,0.841,1,z16,10.48
84,429.0,99.0,10.47,z16,18.98,215.5,0.781,1,z16,10.47
85,474.0,183.0,10.44,z15,21.98,293.5,0.846,1,z15,10.44
86,249.0,344.0,10.43,z16,11.05,67.5,0.769,2,"z15,z16","10.10,10.43"
87,411.0,139.0,10.4,z15,17.31,187.5,0.882,1,z15,10.40
88,361.0,153.0,10.4,z16,15.62,138.5,0.809,2,"z15,z16","10.22,10.40"
89,263.0,444.0,10.4,z16,10.2,63.0,0.825,1,z16,10.40
90,347.0,301.0,10.32,z16,12.82,97.0,0.838,1,z16,10.32
91,421.0,353.0,10.31,z16,19.74,203.0,0.855,1,z16,10.31
92,495.0,162.0,10.29,z15,11.24,74.0,0.838,1,z15,10.29
93,441.0,187.0,10.28,z15,17.46,165.0,0.809,2,"z15,z16","10.28,10.20"
94,455.0,177.0,10.26,z15,12.08,76.5,0.797,1,z15,10.26
95,353.0,104.0,10.22,z15,15.55,144.0,0.804,1,z15,10.22
96,436.0,201.0,10.17,z16,12.41,89.5,0.834,1,z16,10.17
97,497.0,144.0,10.15,z16,20.59,277.5,0.906,1,z16,10.15
98,460.0,298.0,10.15,z16,17.8,187.0,0.876,1,z16,10.15
99,354.0,232.0,10.13,z15,13.46,115.0,0.897,1,z15,10.13
100,362.0,195.0,10.05,z15,17.89,194.0,0.827,1,z15,10.05
101,500.0,86.0,10.04,z16,18.36,199.5,0.858,1,z16,10.04
102,373.0,347.0,10.04,z16,19.28,224.5,0.792,1,z16,10.04
103,372.0,141.0,10.0,z15,13.94,119.5,0.836,1,z15,10.00
